tripinfo_id;tripinfo_depart;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_departDelay;tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_duration;tripinfo_routeLength;tripinfo_waitingTime;tripinfo_waitingCount;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_rerouteNo;tripinfo_devices;tripinfo_vType;tripinfo_speedFactor;tripinfo_vaporized
wu_os_to_od.1;56.00;-45494495_0;5.10;0.00;0.35;162.00;23156030#6_0;109.07;9.15;106.00;865.51;6.00;1;0.00;18.40;0;tripinfo_wu_os_to_od.1;car;0.90;
wu_as_to_os.0;3.00;23687583_0;5.10;0.00;0.17;177.00;45494495_0;58.90;11.13;174.00;1689.77;13.00;1;0.00;31.14;0;tripinfo_wu_as_to_os.0;car;1.07;
wu_od_to_os.3;104.00;803785575#0_0;5.10;0.00;2.33;190.00;45494495_0;58.90;12.36;86.00;969.96;0.00;0;0.00;7.67;0;tripinfo_wu_od_to_os.3;car;1.13;
wu_ns_to_ko.0;14.00;-23142338#2_0;5.10;0.00;0.95;194.00;972103805_0;116.86;10.42;180.00;1398.55;26.00;1;0.00;52.84;0;tripinfo_wu_ns_to_ko.0;car;0.99;
wu_ba_to_gj.0;12.00;-230845886_0;5.10;0.00;0.88;200.00;23527526_0;253.75;10.08;188.00;1755.68;0.00;0;0.00;15.73;0;tripinfo_wu_ba_to_gj.0;car;0.93;
wu_os_to_as.1;25.00;-45494495_0;5.10;0.00;5.40;208.00;41899283#1_0;148.70;10.73;183.00;1746.47;0.00;0;0.00;35.04;0;tripinfo_wu_os_to_as.1;car;1.07;
wu_od_to_os.4;111.00;803785575#0_0;5.10;0.00;2.48;215.00;45494495_0;58.90;8.98;104.00;969.96;0.00;0;0.00;8.63;0;tripinfo_wu_od_to_os.4;car;0.92;
wu_os_to_as.0;19.00;-45494495_0;5.10;0.00;0.87;217.00;41899283#1_0;148.70;9.66;198.00;1746.47;0.00;0;0.00;18.70;0;tripinfo_wu_os_to_as.0;car;0.88;
wu_as_to_os.1;41.00;23687583_0;5.10;0.00;1.57;218.00;45494495_0;58.90;10.41;177.00;1689.77;0.00;0;0.00;14.20;0;tripinfo_wu_as_to_os.1;car;0.94;
wu_od_to_ba.0;1.00;803785575#0_0;5.10;0.00;0.21;222.00;230845886_0;633.12;10.68;221.00;2382.14;0.00;0;0.00;17.05;0;tripinfo_wu_od_to_ba.0;car;1.05;
wu_as_to_ns.0;7.00;23687583_0;5.10;0.00;0.86;228.00;23142338#2_0;290.21;12.56;221.00;1995.73;34.00;2;0.00;62.42;0;tripinfo_wu_as_to_ns.0;car;1.15;
wu_as_to_ba.2;80.00;23687583_0;5.10;0.00;0.16;236.00;230845886_0;633.12;11.27;156.00;1356.50;27.00;1;0.00;41.32;0;tripinfo_wu_as_to_ba.2;car;1.07;
wu_as_to_ko.1;131.00;23687583_0;5.10;0.00;0.89;241.00;972103805_0;116.86;10.42;110.00;1102.39;0.00;0;0.00;13.55;0;tripinfo_wu_as_to_ko.1;car;1.04;
wu_ba_to_os.0;89.00;-230845886_0;5.10;0.00;0.40;250.00;45494495_0;58.90;10.01;161.00;1647.96;0.00;0;0.00;13.93;0;tripinfo_wu_ba_to_os.0;car;1.02;
