tripinfo_id;tripinfo_depart;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_departDelay;tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_duration;tripinfo_routeLength;tripinfo_waitingTime;tripinfo_waitingCount;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_rerouteNo;tripinfo_devices;tripinfo_vType;tripinfo_speedFactor;tripinfo_vaporized
wu_os_to_sl.0;22.00;-45494495_0;5.10;0.00;3.61;93.00;28706217_0;94.10;7.99;71.00;484.95;10.00;1;0.00;21.74;0;tripinfo_wu_os_to_sl.0;car;1.00;
wu_od_to_os.0;10.00;803785575#0_0;5.10;0.00;2.62;97.00;45494495_0;58.90;11.72;87.00;969.96;0.00;0;0.00;7.10;0;tripinfo_wu_od_to_os.0;car;1.10;
wu_os_to_od.0;10.00;-45494495_0;5.10;0.00;0.26;97.00;23156030#6_0;109.07;10.77;87.00;865.51;0.00;0;0.00;8.50;0;tripinfo_wu_os_to_od.0;car;1.00;
wu_ba_to_as.0;9.00;-230845886_0;5.10;0.00;0.19;138.00;41899283#1_0;148.70;11.47;129.00;1430.78;0.00;0;0.00;11.06;0;tripinfo_wu_ba_to_as.0;car;1.10;
wu_os_to_od.1;56.00;-45494495_0;5.10;0.00;0.35;143.00;23156030#6_0;109.07;12.27;87.00;865.51;9.00;1;0.00;21.75;0;tripinfo_wu_os_to_od.1;car;1.20;
wu_as_to_ba.0;13.00;23687583_0;5.10;0.00;0.07;145.00;230845886_0;633.12;10.90;132.00;1356.50;0.00;0;0.00;12.40;0;tripinfo_wu_as_to_ba.0;car;1.02;
wu_as_to_ko.0;44.00;23687583_0;5.10;0.00;2.41;152.00;972103805_0;116.86;12.59;108.00;1102.39;5.00;1;0.00;20.58;0;tripinfo_wu_as_to_ko.0;car;1.14;
wu_as_to_kl.0;10.00;23687583_0;5.10;0.00;1.45;156.00;28716808#1_0;754.74;8.79;146.00;1207.92;0.00;0;0.00;11.80;0;tripinfo_wu_as_to_kl.0;car;0.82;
wu_od_to_os.1;46.00;803785575#0_0;5.10;0.00;4.45;157.00;45494495_0;58.90;9.18;111.00;969.96;0.00;0;0.00;9.52;0;tripinfo_wu_od_to_os.1;car;0.87;
wu_as_to_os.0;3.00;23687583_0;5.10;0.00;0.17;159.00;45494495_0;58.90;12.69;156.00;1689.77;7.00;1;0.00;25.64;0;tripinfo_wu_as_to_os.0;car;1.17;
wu_od_to_os.2;58.00;803785575#0_0;5.10;0.00;0.15;162.00;45494495_0;58.90;9.67;104.00;969.96;0.00;0;0.00;8.85;0;tripinfo_wu_od_to_os.2;car;0.93;
wu_ns_to_ko.0;14.00;-23142338#2_0;5.10;0.00;0.95;163.00;972103805_0;116.86;9.72;149.00;1398.55;0.00;0;0.00;17.22;0;tripinfo_wu_ns_to_ko.0;car;0.96;
wu_as_to_ba.1;27.00;23687583_0;5.10;0.00;0.49;180.00;230845886_0;633.12;9.21;153.00;1356.50;4.00;1;0.00;17.96;0;tripinfo_wu_as_to_ba.1;car;0.91;
wu_ns_to_gj.0;5.00;-23142338#2_0;5.10;0.00;2.64;188.00;23527526_0;253.75;13.88;183.00;2084.96;8.00;1;0.00;32.32;0;tripinfo_wu_ns_to_gj.0;car;1.35;
wu_ba_to_gj.0;12.00;-230845886_0;5.10;0.00;0.88;196.00;23527526_0;253.75;9.94;184.00;1755.68;1.00;1;0.00;22.96;0;tripinfo_wu_ba_to_gj.0;car;0.99;
wu_as_to_ba.2;80.00;23687583_0;5.10;0.00;0.16;205.00;230845886_0;633.12;11.42;125.00;1356.50;0.00;0;0.00;9.09;0;tripinfo_wu_as_to_ba.2;car;1.06;
wu_od_to_os.3;104.00;803785575#0_0;5.10;0.00;2.33;208.00;45494495_0;58.90;9.34;104.00;969.96;0.00;0;0.00;8.38;0;tripinfo_wu_od_to_os.3;car;0.92;
wu_as_to_os.1;41.00;23687583_0;5.10;0.00;1.57;211.00;45494495_0;58.90;9.93;170.00;1689.77;0.00;0;0.00;12.85;0;tripinfo_wu_as_to_os.1;car;0.97;
wu_os_to_as.1;25.00;-45494495_0;5.10;0.00;5.40;222.00;41899283#1_0;148.70;11.14;197.00;1746.47;0.00;0;0.00;52.27;0;tripinfo_wu_os_to_as.1;car;1.09;
wu_od_to_os.4;111.00;803785575#0_0;5.10;0.00;2.48;222.00;45494495_0;58.90;8.66;111.00;969.96;0.00;0;0.00;9.98;0;tripinfo_wu_od_to_os.4;car;0.87;
wu_ns_to_ko.1;66.00;-23142338#2_0;5.10;0.00;0.28;224.00;972103805_0;116.86;10.41;158.00;1398.55;10.00;2;0.00;30.60;0;tripinfo_wu_ns_to_ko.1;car;0.99;
wu_od_to_ba.0;1.00;803785575#0_0;5.10;0.00;0.21;226.00;230845886_0;633.12;11.56;225.00;2382.14;0.00;0;0.00;18.92;0;tripinfo_wu_od_to_ba.0;car;1.04;
wu_ns_to_ko.2;95.00;-23142338#2_0;5.10;0.00;0.16;239.00;972103805_0;116.86;10.23;144.00;1398.55;5.00;1;0.00;21.03;0;tripinfo_wu_ns_to_ko.2;car;1.03;
wu_as_to_ns.0;7.00;23687583_0;5.10;0.00;0.86;240.00;23142338#2_0;290.21;9.77;233.00;1995.73;12.00;1;0.00;34.70;0;tripinfo_wu_as_to_ns.0;car;0.92;
wu_as_to_ns.1;38.00;23687583_0;5.10;0.00;0.89;242.00;23142338#2_0;290.21;10.49;204.00;1995.73;0.00;0;0.00;17.37;0;tripinfo_wu_as_to_ns.1;car;0.98;
wu_os_to_as.0;19.00;-45494495_0;5.10;0.00;0.87;244.00;41899283#1_0;148.70;8.51;225.00;1746.47;0.00;0;0.00;20.49;0;tripinfo_wu_os_to_as.0;car;0.78;
wu_od_to_ns.0;28.00;803785575#0_0;5.10;0.00;0.52;257.00;23142338#2_0;290.21;9.38;229.00;1928.29;7.00;1;0.00;29.25;0;tripinfo_wu_od_to_ns.0;car;0.93;
wu_ba_to_as.1;116.00;-230845886_0;5.10;0.00;0.33;257.00;41899283#1_0;148.70;11.61;141.00;1430.78;0.00;0;0.00;17.03;0;tripinfo_wu_ba_to_as.1;car;1.04;
wu_as_to_gj.0;198.00;23687583_0;5.10;0.00;8.66;258.00;23527526_0;253.75;11.84;60.00;649.06;0.00;0;0.00;8.44;0;tripinfo_wu_as_to_gj.0;car;1.15;
wu_od_to_kl.0;7.00;803785575#0_0;5.10;0.00;3.16;259.00;28716808#1_0;754.74;11.63;252.00;2678.40;2.00;1;0.00;35.62;0;tripinfo_wu_od_to_kl.0;car;1.12;
wu_od_to_kl.1;17.00;803785575#0_0;5.10;0.00;0.28;260.00;28716808#1_0;754.74;12.61;243.00;2678.40;1.00;1;0.00;48.22;0;tripinfo_wu_od_to_kl.1;car;1.24;
wu_od_to_ko.0;4.00;803785575#0_0;5.10;0.00;2.17;263.00;972103805_0;116.86;10.33;259.00;2307.67;6.00;1;0.00;31.65;0;tripinfo_wu_od_to_ko.0;car;0.97;
wu_ba_to_os.0;89.00;-230845886_0;5.10;0.00;0.40;264.00;45494495_0;58.90;10.07;175.00;1647.96;0.00;0;0.00;15.10;0;tripinfo_wu_ba_to_os.0;car;0.94;
wu_as_to_os.2;89.00;23687583_0;5.10;0.00;0.55;266.00;45494495_0;58.90;11.05;177.00;1689.77;8.00;1;0.00;29.37;0;tripinfo_wu_as_to_os.2;car;1.04;
wu_os_to_gj.0;73.00;-45494495_0;5.10;0.00;0.40;277.00;23527526_0;253.75;11.34;204.00;2071.37;8.00;1;0.00;27.71;0;tripinfo_wu_os_to_gj.0;car;1.07;
wu_od_to_gj.0;23.00;803785575#0_0;5.10;0.00;0.29;279.00;23527526_0;253.75;11.65;256.00;2706.99;7.00;1;0.00;40.80;0;tripinfo_wu_od_to_gj.0;car;1.14;
wu_as_to_ko.1;131.00;23687583_0;5.10;0.00;0.89;279.00;972103805_0;116.86;9.32;148.00;1102.39;14.00;1;0.00;28.87;0;tripinfo_wu_as_to_ko.1;car;0.84;
wu_as_to_ko.2;171.00;23687583_0;5.10;0.00;0.44;281.00;972103805_0;116.86;10.58;110.00;1102.39;0.00;0;0.00;10.57;0;tripinfo_wu_as_to_ko.2;car;1.01;
wu_ba_to_ko.0;32.00;-230845886_0;5.10;0.00;0.31;284.00;972103805_0;116.86;9.55;252.00;2114.29;16.00;3;0.00;49.12;0;tripinfo_wu_ba_to_ko.0;car;0.95;
wu_od_to_sl.0;202.00;803785575#0_0;5.10;0.00;0.33;286.00;28706217_0;94.10;7.08;84.00;747.33;0.00;0;0.00;7.86;0;tripinfo_wu_od_to_sl.0;car;0.95;
wu_od_to_ba.1;14.00;803785575#0_0;5.10;0.00;0.44;288.00;230845886_0;633.12;8.96;274.00;2382.14;0.00;0;0.00;21.56;0;tripinfo_wu_od_to_ba.1;car;0.85;
wu_ns_to_gj.1;53.00;-23142338#2_0;5.10;0.00;2.40;288.00;23527526_0;253.75;10.17;235.00;2084.96;19.00;2;0.00;49.17;0;tripinfo_wu_ns_to_gj.1;car;1.02;
wu_od_to_ba.2;43.00;803785575#0_0;5.10;0.00;2.76;290.00;230845886_0;633.12;10.26;247.00;2382.14;0.00;0;0.00;26.27;0;tripinfo_wu_od_to_ba.2;car;0.98;
wu_as_to_ba.3;153.00;23687583_0;5.10;0.00;2.60;292.00;230845886_0;633.12;10.56;139.00;1356.50;1.00;1;0.00;16.41;0;tripinfo_wu_as_to_ba.3;car;1.00;
wu_os_to_ns.0;53.00;-45494495_0;5.10;0.00;0.64;293.00;23142338#2_0;290.21;9.17;240.00;1665.91;26.00;3;0.00;55.62;0;tripinfo_wu_os_to_ns.0;car;0.88;
wu_od_to_ns.1;64.00;803785575#0_0;5.10;0.00;0.42;295.00;23142338#2_0;290.21;10.37;231.00;1928.29;4.00;1;0.00;35.88;0;tripinfo_wu_od_to_ns.1;car;0.95;
wu_ns_to_ko.3;146.00;-23142338#2_0;5.10;0.00;0.60;295.00;972103805_0;116.86;11.88;149.00;1398.55;15.00;1;0.00;31.58;0;tripinfo_wu_ns_to_ko.3;car;1.07;
wu_od_to_os.5;190.00;803785575#0_0;5.10;0.00;1.87;296.00;45494495_0;58.90;9.56;106.00;969.96;0.00;0;0.00;9.10;0;tripinfo_wu_od_to_os.5;car;0.90;
wu_as_to_gg.0;111.00;23687583_0;5.10;0.00;0.90;297.00;23156305_0;1264.14;8.85;186.00;1600.87;0.00;0;0.00;15.09;0;tripinfo_wu_as_to_gg.0;car;0.85;
wu_ba_to_sl.0;40.00;-230845886_0;5.10;0.00;2.88;301.00;28706217_0;94.10;8.13;261.00;1934.94;29.00;2;0.00;82.51;0;tripinfo_wu_ba_to_sl.0;car;1.01;
wu_as_to_gj.1;201.00;23687583_0;5.10;0.00;9.76;302.00;23527526_0;253.75;8.71;101.00;649.06;18.00;1;0.00;31.15;0;tripinfo_wu_as_to_gj.1;car;0.85;
wu_as_to_ko.3;174.00;23687583_0;5.10;0.00;2.82;304.00;972103805_0;116.86;11.93;130.00;1102.39;17.00;1;0.00;39.61;0;tripinfo_wu_as_to_ko.3;car;1.11;
wu_ba_to_os.1;140.00;-230845886_0;5.10;0.00;0.82;305.00;45494495_0;58.90;11.71;165.00;1647.96;0.00;0;0.00;27.30;0;tripinfo_wu_ba_to_os.1;car;1.09;
wu_as_to_ko.4;189.00;23687583_0;5.10;0.00;0.82;308.00;972103805_0;116.86;10.52;119.00;1102.39;0.00;0;0.00;15.46;0;tripinfo_wu_as_to_ko.4;car;0.96;
wu_as_to_sl.0;53.00;23687583_0;5.10;0.00;0.53;312.00;28706217_0;94.10;6.53;259.00;1976.75;27.00;2;0.00;61.52;0;tripinfo_wu_as_to_sl.0;car;0.93;
wu_as_to_od.0;56.00;23687583_0;5.10;0.00;2.77;312.00;23156030#6_1;109.07;10.26;256.00;2357.31;8.00;1;0.00;29.45;0;tripinfo_wu_as_to_od.0;car;0.94;
wu_ba_to_od.0;37.00;-230845886_0;5.10;0.00;0.14;313.00;23156030#6_0;109.07;9.26;276.00;2315.50;7.00;1;0.00;30.67;0;tripinfo_wu_ba_to_od.0;car;0.85;
wu_os_to_br.0;28.00;-45494495_0;5.10;0.00;2.33;314.00;23156390_0;1121.44;9.47;286.00;2513.69;0.00;0;0.00;44.62;0;tripinfo_wu_os_to_br.0;car;0.95;
wu_ba_to_od.1;119.00;-230845886_0;5.10;0.00;2.43;322.00;23156030#6_0;109.07;11.85;203.00;2315.50;0.00;0;0.00;24.44;0;tripinfo_wu_ba_to_od.1;car;1.17;
wu_ba_to_gg.0;43.00;-230845886_0;5.10;0.00;3.70;326.00;23156305_0;1264.14;9.76;283.00;2718.65;0.00;0;0.00;30.66;0;tripinfo_wu_ba_to_gg.0;car;0.98;
wu_as_to_ns.2;108.00;23687583_0;5.10;0.00;0.47;326.00;23142338#2_0;290.21;9.58;218.00;1995.73;11.00;1;0.00;32.63;0;tripinfo_wu_as_to_ns.2;car;0.98;
wu_as_to_kl.1;182.00;23687583_0;5.10;0.00;0.40;328.00;28716808#1_0;754.74;8.17;146.00;1207.92;0.00;0;0.00;13.22;0;tripinfo_wu_as_to_kl.1;car;0.82;
wu_od_to_ko.1;40.00;803785575#0_0;5.10;0.00;0.97;330.00;972103805_0;116.86;9.01;290.00;2307.67;17.00;1;0.00;45.29;0;tripinfo_wu_od_to_ko.1;car;0.89;
wu_ba_to_sl.1;99.00;-230845886_0;5.10;0.00;0.74;330.00;28706217_0;94.10;9.63;231.00;1934.94;24.00;2;0.00;80.47;0;tripinfo_wu_ba_to_sl.1;car;1.20;
wu_as_to_sl.1;150.00;23687583_0;5.10;0.00;0.37;336.00;28706217_0;94.10;8.82;186.00;1976.75;2.00;1;0.00;26.87;0;tripinfo_wu_as_to_sl.1;car;1.15;
wu_as_to_gj.2;266.00;23687583_0;5.10;0.00;0.72;337.00;23527526_0;253.75;9.97;71.00;649.06;0.00;0;0.00;7.81;0;tripinfo_wu_as_to_gj.2;car;0.94;
wu_ns_to_gg.0;2.00;-23142338#2_0;5.10;0.00;0.85;338.00;23156305_0;1264.14;10.27;336.00;3297.24;8.00;1;0.00;41.90;0;tripinfo_wu_ns_to_gg.0;car;1.02;
wu_od_to_br.0;20.00;803785575#0_0;5.10;0.00;1.32;340.00;23156390_0;1121.44;10.58;320.00;3149.31;5.00;1;0.00;33.66;0;tripinfo_wu_od_to_br.0;car;1.00;
wu_ba_to_os.2;199.00;-230845886_0;5.10;0.00;0.69;347.00;45494495_0;58.90;11.36;148.00;1647.96;0.00;0;0.00;14.66;0;tripinfo_wu_ba_to_os.2;car;1.12;
wu_ba_to_as.2;172.00;-230845886_0;5.10;0.00;1.95;350.00;41899283#1_0;148.70;8.76;178.00;1430.78;2.00;1;0.00;21.94;0;tripinfo_wu_ba_to_as.2;car;0.83;
wu_od_to_ko.2;108.00;803785575#0_0;5.10;0.00;0.21;352.00;972103805_0;116.86;10.76;244.00;2307.67;0.00;0;0.00;21.66;0;tripinfo_wu_od_to_ko.2;car;0.99;
wu_ba_to_gj.1;154.00;-230845886_0;5.10;0.00;0.81;353.00;23527526_0;253.75;9.19;199.00;1755.68;0.00;0;0.00;19.91;0;tripinfo_wu_ba_to_gj.1;car;0.89;
wu_od_to_as.0;82.00;803785575#0_0;5.10;0.00;0.37;354.00;41899283#1_0;148.70;10.33;272.00;2382.09;10.00;2;0.00;49.69;0;tripinfo_wu_od_to_as.0;car;0.97;
