tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
137.00;168975993_0;51.44;12.64;30.00;0.00;-34307506#1_0;5.10;0.00;tripinfo_30;107.00;30;0;1044.74;1.21;0.00;26.33;DEFAULT_VEHTYPE;;0;0.00
139.00;28716810#2_1;41.42;11.21;50.00;0.00;53179241#0_0;5.10;0.00;tripinfo_50;89.00;50;0;916.49;1.07;0.00;11.68;DEFAULT_VEHTYPE;;0;0.00
140.00;1355914274_0;64.55;7.60;44.00;0.00;34477631_0;5.10;0.00;tripinfo_44;96.00;44;0;566.87;0.75;0.00;25.32;DEFAULT_VEHTYPE;;1;9.00
142.00;8175073#7_0;29.35;10.09;61.00;0.00;-23533358#0_0;5.10;0.00;tripinfo_61;81.00;61;0;554.78;0.92;0.00;24.31;DEFAULT_VEHTYPE;;1;6.00
143.00;23533358#0_0;46.02;10.11;32.00;0.00;-23527526_0;5.10;0.00;tripinfo_32;111.00;32;0;1012.20;1.01;0.00;17.99;DEFAULT_VEHTYPE;;0;0.00
146.00;-81180662#1_0;14.46;10.45;62.00;0.00;155739377#0_0;2.39;0.00;tripinfo_62;84.00;62;0;702.28;1.05;0.00;12.38;DEFAULT_VEHTYPE;;0;0.00
148.00;-955486926_0;63.69;10.71;15.00;0.00;-23533358#11_0;5.10;0.00;tripinfo_15;133.00;15;0;975.48;0.99;0.00;41.69;DEFAULT_VEHTYPE;;2;18.00
149.00;8175078#4_0;71.28;10.40;67.00;0.00;23533358#8_0;5.10;0.00;tripinfo_67;82.00;67;0;665.43;1.03;0.00;22.62;DEFAULT_VEHTYPE;;1;2.00
149.00;23104419#0_0;2.39;10.29;92.00;0.00;-307625223#2_0;5.10;0.00;tripinfo_92;57.00;92;0;499.16;0.94;0.00;7.97;DEFAULT_VEHTYPE;;0;0.00
150.00;27664981#2_0;24.00;11.26;78.00;0.00;23533064#0_0;5.10;0.00;tripinfo_78;72.00;78;0;725.22;1.13;0.00;12.51;DEFAULT_VEHTYPE;;0;0.00
155.00;919428545_0;5.12;5.51;42.00;0.00;32020285#4_0;5.10;0.00;tripinfo_42;113.00;42;0;951.98;0.88;0.00;13.68;DEFAULT_VEHTYPE;;0;0.00
155.00;155739380_0;7.27;6.48;100.00;0.00;34307506#1_0;5.10;0.00;tripinfo_100;55.00;100;0;414.98;0.94;0.00;13.59;DEFAULT_VEHTYPE;;1;3.00
156.00;39021880#1_0;6.77;12.03;49.00;0.00;-922012821#0_0;5.10;0.00;tripinfo_49;107.00;49;0;983.57;1.09;0.00;22.48;DEFAULT_VEHTYPE;;0;0.00
156.00;28471850#0_0;35.97;9.74;64.00;0.00;23533128#2_0;5.10;0.00;tripinfo_64;92.00;64;0;687.69;0.94;0.00;23.42;DEFAULT_VEHTYPE;;1;2.00
158.00;-8175078#0_0;84.53;10.12;35.00;1.00;-154917393#2_0;5.10;0.00;tripinfo_34;123.00;34;0;1048.62;0.91;0.00;17.18;DEFAULT_VEHTYPE;;0;0.00
158.00;39021880#1_0;6.77;10.43;74.00;0.00;23533013#4_0;5.10;0.00;tripinfo_74;84.00;74;0;726.07;0.99;0.00;15.27;DEFAULT_VEHTYPE;;0;0.00
159.00;23533358#4_0;24.24;11.31;70.00;0.00;31576407_0;5.10;0.00;tripinfo_70;89.00;70;0;748.35;1.04;0.00;22.20;DEFAULT_VEHTYPE;;1;4.00
160.00;23142338#2_0;290.21;10.08;20.00;0.00;23533381#0_0;5.10;0.00;tripinfo_20;140.00;20;0;1177.78;0.97;0.00;27.61;DEFAULT_VEHTYPE;;1;1.00
161.00;-23533358#5_0;40.99;11.25;106.00;0.00;-8175078#2_0;5.10;0.00;tripinfo_106;55.00;106;0;491.72;1.02;0.00;9.98;DEFAULT_VEHTYPE;;0;0.00
162.00;958662608_0;32.49;12.09;63.00;0.00;166468087#0_0;5.10;0.00;tripinfo_63;99.00;63;0;657.28;1.10;0.00;33.17;DEFAULT_VEHTYPE;;1;15.00
166.00;-8175073#4_0;61.82;10.71;116.00;0.00;27659282#2_0;5.10;0.00;tripinfo_116;50.00;116;0;433.78;1.03;0.00;9.68;DEFAULT_VEHTYPE;;0;0.00
167.00;-27664981#1_0;20.27;10.00;128.00;0.00;-132270198_0;5.10;0.00;tripinfo_128;39.00;128;0;311.74;0.99;0.00;8.40;DEFAULT_VEHTYPE;;0;0.00
173.00;922012821#3_0;61.86;9.70;39.00;0.00;23118836#2_0;5.10;0.00;tripinfo_39;134.00;39;0;866.81;0.97;0.00;51.45;DEFAULT_VEHTYPE;;2;32.00
173.00;1424352287#1_0;67.34;11.96;105.00;0.00;23118843_0;5.10;0.00;tripinfo_105;68.00;105;0;601.71;1.12;0.00;15.46;DEFAULT_VEHTYPE;;0;0.00
175.00;23533381#0_0;26.08;10.87;68.00;0.00;39003145#1_0;5.10;0.00;tripinfo_68;107.00;68;0;968.03;1.04;0.00;21.14;DEFAULT_VEHTYPE;;0;0.00
177.00;922012821#4_0;0.20;8.90;38.00;0.00;23118836#0_0;5.10;0.00;tripinfo_38;139.00;38;0;944.13;1.06;0.00;56.80;DEFAULT_VEHTYPE;;1;29.00
177.00;23533128#1_0;68.56;11.79;109.00;2.00;-34307506#3_0;5.10;0.00;tripinfo_107;68.00;107;0;194.90;1.06;0.00;50.50;DEFAULT_VEHTYPE;;1;40.00
177.00;31518627#0_0;71.51;10.38;129.00;0.00;-23533381#1_0;5.10;0.00;tripinfo_129;48.00;129;0;388.23;0.99;0.00;9.58;DEFAULT_VEHTYPE;;0;0.00
178.00;895246742#1_0;56.23;10.05;73.00;0.00;8175078#0_0;5.10;0.00;tripinfo_73;105.00;73;0;581.48;1.00;0.00;51.55;DEFAULT_VEHTYPE;;1;39.00
178.00;23533064#4_0;110.53;9.64;79.00;0.00;-23533128#1_0;5.10;0.00;tripinfo_79;99.00;79;0;855.99;0.97;0.00;16.49;DEFAULT_VEHTYPE;;0;0.00
178.00;1424352636_0;60.76;10.66;88.00;3.00;919747349_0;0.20;0.00;tripinfo_85;90.00;85;0;746.22;1.04;0.00;24.75;DEFAULT_VEHTYPE;;1;11.00
179.00;4329596#1_0;14.78;8.23;28.00;0.00;-1424352287#2_0;5.10;0.00;tripinfo_28;151.00;28;0;1021.12;0.82;0.00;33.40;DEFAULT_VEHTYPE;;1;10.00
179.00;-23533358#5_0;40.99;12.30;124.00;0.00;-8175078#2_0;5.10;0.00;tripinfo_124;55.00;124;0;491.72;1.16;0.00;15.31;DEFAULT_VEHTYPE;;0;0.00
180.00;309609359_0;3.31;8.23;9.00;0.00;-23104419#2_0;5.10;0.00;tripinfo_9;171.00;9;0;1489.90;1.02;0.00;35.33;DEFAULT_VEHTYPE;;2;2.00
182.00;166468087#1_0;30.76;9.32;81.00;0.00;-401310406_0;5.10;0.00;tripinfo_81;101.00;81;0;794.67;0.92;0.00;10.24;DEFAULT_VEHTYPE;;0;0.00
183.00;23533013#5_0;29.24;10.79;29.00;0.00;155739387#1_0;5.10;0.00;tripinfo_29;154.00;29;0;1091.51;0.99;0.00;51.91;DEFAULT_VEHTYPE;;2;26.00
183.00;31472498#0_0;29.19;11.58;71.00;0.00;-1355914277#0_0;2.84;0.00;tripinfo_71;112.00;71;0;1154.30;1.15;0.00;19.55;DEFAULT_VEHTYPE;;0;0.00
183.00;-927242377#2_0;70.15;10.97;127.00;0.00;-1424352287#1_0;5.10;0.00;tripinfo_127;56.00;127;0;570.29;1.08;0.00;7.25;DEFAULT_VEHTYPE;;0;0.00
185.00;919747358_0;18.83;10.43;13.00;0.00;972103788#0_0;5.10;0.00;tripinfo_13;172.00;13;0;1567.97;1.05;0.00;24.82;DEFAULT_VEHTYPE;;0;0.00
187.00;401253640#3_0;0.20;7.83;72.00;0.00;8175078#3_0;5.10;0.00;tripinfo_72;115.00;72;0;1061.63;1.04;0.00;20.54;DEFAULT_VEHTYPE;;0;0.00
189.00;919747358_2;18.83;10.03;53.00;0.00;-53179241#0_0;5.10;0.00;tripinfo_53;136.00;53;0;956.03;0.99;0.00;47.15;DEFAULT_VEHTYPE;;1;22.00
191.00;166468087#0_0;75.34;9.51;10.00;0.00;-927242377#2_0;5.10;0.00;tripinfo_10;181.00;10;0;1470.07;0.93;0.00;34.85;DEFAULT_VEHTYPE;;0;0.00
191.00;23533064#6_0;4.67;10.41;103.00;4.00;-34307506#3_0;5.10;0.00;tripinfo_99;88.00;99;0;756.28;1.03;0.00;19.35;DEFAULT_VEHTYPE;;0;0.00
191.00;927242377#2_0;70.15;9.93;151.00;0.00;27659282#1_0;5.10;0.00;tripinfo_151;40.00;151;0;336.92;0.91;0.00;6.03;DEFAULT_VEHTYPE;;0;0.00
193.00;155739377#2_0;30.73;9.70;80.00;0.00;309609362_0;5.10;0.00;tripinfo_80;113.00;80;0;757.90;0.93;0.00;25.47;DEFAULT_VEHTYPE;;1;12.00
193.00;-27664981#1_0;20.27;10.54;176.00;0.00;27664981#0_0;4.00;0.00;tripinfo_176;17.00;176;0;121.22;1.02;0.00;4.83;DEFAULT_VEHTYPE;;0;0.00
195.00;23164384#0_0;128.43;8.60;27.00;0.00;41899281_0;5.10;0.00;tripinfo_27;168.00;27;0;1541.66;1.05;0.00;26.82;DEFAULT_VEHTYPE;;1;2.00
196.00;41899283#1_0;148.70;10.79;3.00;0.00;-81180662#4_0;5.10;0.00;tripinfo_3;193.00;3;0;1797.71;1.01;0.00;30.28;DEFAULT_VEHTYPE;;2;4.00
196.00;8175073#1_0;59.38;9.76;111.00;0.00;1424352287#0_0;5.10;0.00;tripinfo_111;85.00;111;0;683.65;0.92;0.00;16.09;DEFAULT_VEHTYPE;;0;0.00
197.00;-1219538618_0;13.26;10.50;90.00;0.00;919747356_0;3.98;0.00;tripinfo_90;107.00;90;0;730.83;1.07;0.00;33.66;DEFAULT_VEHTYPE;;1;17.00
198.00;28716810#3_1;47.08;11.43;113.00;0.00;-23533128#1_0;5.10;0.00;tripinfo_113;85.00;113;0;920.06;1.14;0.00;10.47;DEFAULT_VEHTYPE;;0;0.00
199.00;-1219538618_0;13.26;10.21;45.00;0.00;-401253640#2_0;1.40;0.00;tripinfo_45;154.00;45;0;1014.15;1.04;0.00;54.65;DEFAULT_VEHTYPE;;3;30.00
200.00;-308578163#1_0;34.15;9.48;130.00;0.00;-8175073#8_0;5.10;0.00;tripinfo_130;70.00;130;0;558.07;0.86;0.00;10.04;DEFAULT_VEHTYPE;;0;0.00
201.00;32020285#2_0;47.74;11.00;124.00;1.00;1219538618_0;5.10;0.00;tripinfo_123;77.00;123;0;667.43;1.08;0.00;19.00;DEFAULT_VEHTYPE;;1;3.00
202.00;4325931_0;82.37;9.69;18.00;0.00;-23866965_0;5.10;0.00;tripinfo_18;184.00;18;0;1715.76;0.96;0.00;21.29;DEFAULT_VEHTYPE;;0;0.00
205.00;-955486926_0;63.69;10.70;76.00;0.00;108009669#0_0;5.10;0.00;tripinfo_76;129.00;76;0;854.16;1.08;0.00;55.13;DEFAULT_VEHTYPE;;2;18.00
210.00;1424352287#2_0;72.56;9.74;23.00;0.00;1147665445#1_0;5.10;0.00;tripinfo_23;187.00;23;0;1036.53;0.95;0.00;34.96;DEFAULT_VEHTYPE;;0;0.00
212.00;303224114#0_1;39.93;8.58;135.00;0.00;23533013#1_0;5.10;0.00;tripinfo_135;77.00;135;0;618.83;0.84;0.00;9.43;DEFAULT_VEHTYPE;;0;0.00
213.00;-28471850#1_0;0.20;3.66;87.00;0.00;166671249#0_0;5.10;0.00;tripinfo_87;126.00;87;0;985.18;1.03;0.00;37.78;DEFAULT_VEHTYPE;;2;6.00
216.00;-154917393#8_0;4.27;5.37;210.00;0.00;154917393#7_0;0.52;0.00;tripinfo_210;6.00;210;0;22.45;1.09;0.00;3.44;DEFAULT_VEHTYPE;;0;0.00
217.00;53179241#1_0;43.04;10.32;98.00;0.00;81180662#4_0;5.10;0.00;tripinfo_98;119.00;98;0;910.72;0.97;0.00;32.23;DEFAULT_VEHTYPE;;3;9.00
217.00;1355914277#0_0;2.84;10.35;103.00;0.00;307625223#1_0;5.10;0.00;tripinfo_103;114.00;103;0;1102.63;1.04;0.00;15.67;DEFAULT_VEHTYPE;;0;0.00
218.00;166468087#1_0;30.76;9.44;144.00;0.00;155739380_0;5.10;0.00;tripinfo_144;74.00;144;0;712.58;0.96;0.00;6.30;DEFAULT_VEHTYPE;;0;0.00
218.00;34480759_0;59.80;12.53;159.00;0.00;972103788#0_0;5.10;0.00;tripinfo_159;59.00;159;0;530.20;1.14;0.00;15.36;DEFAULT_VEHTYPE;;0;0.00
220.00;309609351_1;218.09;11.84;133.00;0.00;-23527526_0;5.10;0.00;tripinfo_133;87.00;133;0;942.97;1.17;0.00;12.95;DEFAULT_VEHTYPE;;0;0.00
223.00;919428555_0;21.55;12.84;93.00;0.00;-34307506#0_0;0.20;0.00;tripinfo_93;130.00;93;0;1232.72;1.17;0.00;33.25;DEFAULT_VEHTYPE;;0;0.00
224.00;27659404#2_0;27.43;10.77;171.00;0.00;137461560_0;5.10;0.00;tripinfo_171;53.00;171;0;461.09;1.07;0.00;12.81;DEFAULT_VEHTYPE;;1;1.00
227.00;23118838#0-AddedOnRampEdge_0;94.68;10.00;95.00;0.00;-23533381#1_0;5.10;0.00;tripinfo_95;132.00;95;0;875.06;0.97;0.00;48.48;DEFAULT_VEHTYPE;;2;22.00
