tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
84.00;28706217_0;94.10;6.89;22.00;3.61;-45494495_0;5.10;0.00;tripinfo_wu_os_to_sl.0;62.00;wu_os_to_sl.0;0;484.95;0.92;0.00;8.02;car;;0;0.00
101.00;45494495_0;58.90;10.67;10.00;2.62;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.0;91.00;wu_od_to_os.0;0;969.96;1.07;0.00;9.01;car;;0;0.00
105.00;23156030#6_0;109.07;9.94;10.00;0.26;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.0;95.00;wu_os_to_od.0;0;865.51;0.98;0.00;14.72;car;;1;2.00
137.00;45494495_0;58.90;10.98;46.00;4.45;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.1;91.00;wu_od_to_os.1;0;969.96;1.07;0.00;8.69;car;;0;0.00
143.00;230845886_0;633.12;12.20;13.00;0.07;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.0;130.00;wu_as_to_ba.0;0;1356.50;1.11;0.00;19.55;car;;0;0.00
143.00;23156030#6_0;109.07;10.95;56.00;0.35;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.1;87.00;wu_os_to_od.1;0;865.51;1.09;0.00;15.28;car;;1;2.00
148.00;41899283#1_0;148.70;11.13;9.00;0.19;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_as.0;139.00;wu_ba_to_as.0;0;1430.78;1.06;0.00;15.81;car;;0;0.00
155.00;28716808#1_0;754.74;8.27;10.00;1.45;23687583_0;5.10;0.00;tripinfo_wu_as_to_kl.0;145.00;wu_as_to_kl.0;0;1207.92;0.84;0.00;14.30;car;;0;0.00
155.00;45494495_0;58.90;10.33;58.00;0.15;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.2;97.00;wu_od_to_os.2;0;969.96;1.00;0.00;8.36;car;;0;0.00
158.00;45494495_0;58.90;11.94;3.00;0.17;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.0;155.00;wu_as_to_os.0;0;1689.77;1.08;0.00;13.10;car;;0;0.00
167.00;972103805_0;116.86;9.38;14.00;0.95;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.0;153.00;wu_ns_to_ko.0;0;1398.55;0.93;0.00;16.77;car;;1;1.00
168.00;23527526_0;253.75;13.24;12.00;0.88;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_gj.0;156.00;wu_ba_to_gj.0;0;1755.68;1.22;0.00;25.05;car;;0;0.00
171.00;230845886_0;633.12;10.72;27.00;0.49;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.1;144.00;wu_as_to_ba.1;0;1356.50;1.01;0.00;22.77;car;;1;9.00
176.00;972103805_0;116.86;9.47;44.00;2.41;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.0;132.00;wu_as_to_ko.0;0;1102.39;0.92;0.00;24.34;car;;1;9.00
195.00;45494495_0;58.90;10.99;104.00;2.33;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.3;91.00;wu_od_to_os.3;0;969.96;1.08;0.00;9.64;car;;0;0.00
