tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
94.00;23156030#6_0;109.07;10.43;10.00;0.26;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.0;84.00;wu_os_to_od.0;0;865.51;1.00;0.00;5.84;car;;0;0.00
95.00;28706217_0;94.10;7.61;22.00;3.61;-45494495_0;5.10;0.00;tripinfo_wu_os_to_sl.0;73.00;wu_os_to_sl.0;0;484.95;0.93;0.00;20.27;car;;1;9.00
105.00;45494495_0;58.90;10.84;10.00;2.62;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.0;95.00;wu_od_to_os.0;0;969.96;1.03;0.00;9.41;car;;0;0.00
131.00;45494495_0;58.90;12.01;46.00;4.45;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.1;85.00;wu_od_to_os.1;0;969.96;1.13;0.00;7.43;car;;0;0.00
143.00;28716808#1_0;754.74;9.88;10.00;1.45;23687583_0;5.10;0.00;tripinfo_wu_as_to_kl.0;133.00;wu_as_to_kl.0;0;1207.92;0.91;0.00;11.60;car;;0;0.00
148.00;230845886_0;633.12;10.77;13.00;0.07;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.0;135.00;wu_as_to_ba.0;0;1356.50;1.03;0.00;15.71;car;;0;0.00
153.00;23156030#6_0;109.07;10.47;56.00;0.35;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.1;97.00;wu_os_to_od.1;0;865.51;0.99;0.00;17.79;car;;1;8.00
155.00;972103805_0;116.86;10.01;44.00;2.41;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.0;111.00;wu_as_to_ko.0;0;1102.39;0.97;0.00;8.74;car;;0;0.00
162.00;45494495_0;58.90;9.08;58.00;0.15;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.2;104.00;wu_od_to_os.2;0;969.96;0.93;0.00;9.06;car;;0;0.00
163.00;41899283#1_0;148.70;9.41;9.00;0.19;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_as.0;154.00;wu_ba_to_as.0;0;1430.78;0.92;0.00;13.26;car;;0;0.00
163.00;972103805_0;116.86;9.84;14.00;0.95;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.0;149.00;wu_ns_to_ko.0;0;1398.55;0.92;0.00;10.81;car;;0;0.00
176.00;230845886_0;633.12;9.33;27.00;0.49;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.1;149.00;wu_as_to_ba.1;0;1356.50;0.95;0.00;19.71;car;;1;4.00
188.00;23527526_0;253.75;11.25;12.00;0.88;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_gj.0;176.00;wu_ba_to_gj.0;0;1755.68;1.08;0.00;27.94;car;;1;2.00
194.00;45494495_0;58.90;11.76;104.00;2.33;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.3;90.00;wu_od_to_os.3;0;969.96;1.07;0.00;7.30;car;;0;0.00
195.00;41899283#1_0;148.70;10.92;19.00;0.87;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.0;176.00;wu_os_to_as.0;0;1746.47;1.02;0.00;20.78;car;;0;0.00
196.00;41899283#1_0;148.70;10.34;25.00;5.40;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.1;171.00;wu_os_to_as.1;0;1746.47;1.01;0.00;14.68;car;;0;0.00
199.00;45494495_0;58.90;8.25;3.00;0.17;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.0;196.00;wu_as_to_os.0;0;1689.77;0.85;0.00;15.98;car;;0;0.00
201.00;230845886_0;633.12;10.93;80.00;0.16;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.2;121.00;wu_as_to_ba.2;0;1356.50;1.09;0.00;9.33;car;;0;0.00
201.00;45494495_0;58.90;12.25;111.00;2.48;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.4;90.00;wu_od_to_os.4;0;969.96;1.14;0.00;12.84;car;;0;0.00
208.00;45494495_0;58.90;10.98;41.00;1.57;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.1;167.00;wu_as_to_os.1;0;1689.77;0.99;0.00;12.86;car;;0;0.00
216.00;972103805_0;116.86;12.71;32.00;0.31;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_ko.0;184.00;wu_ba_to_ko.0;0;2114.29;1.23;0.00;26.42;car;;0;0.00
221.00;23527526_0;253.75;11.85;5.00;2.64;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_gj.0;216.00;wu_ns_to_gj.0;0;2084.96;1.10;0.00;44.60;car;;2;23.00
222.00;23142338#2_0;290.21;11.82;28.00;0.52;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ns.0;194.00;wu_od_to_ns.0;0;1928.29;1.13;0.00;28.48;car;;0;0.00
237.00;23142338#2_0;290.21;9.91;7.00;0.86;23687583_0;5.10;0.00;tripinfo_wu_as_to_ns.0;230.00;wu_as_to_ns.0;0;1995.73;0.95;0.00;38.63;car;;1;18.00
249.00;972103805_0;116.86;10.05;131.00;0.89;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.1;118.00;wu_as_to_ko.1;0;1102.39;0.93;0.00;10.44;car;;0;0.00
251.00;230845886_0;633.12;9.06;1.00;0.21;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ba.0;250.00;wu_od_to_ba.0;0;2382.14;0.92;0.00;17.41;car;;0;0.00
