tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
256.00;28716808#1_0;754.74;10.95;7.00;3.16;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_kl.0;249.00;wu_od_to_kl.0;0;2678.40;1.08;0.00;23.80;car;;0;0.00
256.00;23527526_0;253.75;10.54;53.00;2.40;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_gj.1;203.00;wu_ns_to_gj.1;0;2084.96;1.03;0.00;19.67;car;;0;0.00
257.00;23527526_0;253.75;11.89;73.00;0.40;-45494495_0;5.10;0.00;tripinfo_wu_os_to_gj.0;184.00;wu_os_to_gj.0;0;2071.37;1.11;0.00;15.78;car;;0;0.00
259.00;23142338#2_0;290.21;10.27;28.00;0.52;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ns.0;231.00;wu_od_to_ns.0;0;1928.29;0.95;0.00;34.49;car;;1;8.00
262.00;23142338#2_0;290.21;9.81;53.00;0.64;-45494495_0;5.10;0.00;tripinfo_wu_os_to_ns.0;209.00;wu_os_to_ns.0;0;1665.91;0.98;0.00;42.55;car;;2;11.00
263.00;23527526_0;253.75;11.76;197.00;7.66;23687583_0;5.10;0.00;tripinfo_wu_as_to_gj.0;66.00;wu_as_to_gj.0;0;649.06;1.09;0.00;11.44;car;;0;0.00
265.00;23156305_0;1264.14;11.20;111.00;0.90;23687583_0;5.10;0.00;tripinfo_wu_as_to_gg.0;154.00;wu_as_to_gg.0;0;1600.87;1.02;0.00;11.78;car;;0;0.00
265.00;23527526_0;253.75;11.80;201.00;9.76;23687583_0;5.10;0.00;tripinfo_wu_as_to_gj.1;64.00;wu_as_to_gj.1;0;649.06;1.11;0.00;10.28;car;;0;0.00
266.00;972103805_0;116.86;9.18;95.00;0.16;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.2;171.00;wu_ns_to_ko.2;0;1398.55;0.84;0.00;20.83;car;;1;3.00
272.00;972103805_0;116.86;11.61;171.00;0.44;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.2;101.00;wu_as_to_ko.2;0;1102.39;1.10;0.00;9.97;car;;0;0.00
273.00;45494495_0;58.90;8.74;89.00;0.40;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_os.0;184.00;wu_ba_to_os.0;0;1647.96;0.88;0.00;15.16;car;;0;0.00
274.00;23156390_0;1121.44;10.94;28.00;2.33;-45494495_0;5.10;0.00;tripinfo_wu_os_to_br.0;246.00;wu_os_to_br.0;0;2513.69;1.09;0.00;36.42;car;;1;4.00
275.00;45494495_0;58.90;9.08;89.00;0.55;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.2;186.00;wu_as_to_os.2;0;1689.77;0.93;0.00;22.04;car;;1;2.00
277.00;41899283#1_0;148.70;9.21;116.00;0.33;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_as.1;161.00;wu_ba_to_as.1;0;1430.78;0.93;0.00;20.88;car;;1;1.00
279.00;28706217_0;94.10;8.16;202.00;0.33;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_sl.0;77.00;wu_od_to_sl.0;0;747.33;1.05;0.00;7.69;car;;0;0.00
283.00;972103805_0;116.86;11.63;146.00;0.60;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.3;137.00;wu_ns_to_ko.3;0;1398.55;1.05;0.00;16.01;car;;1;1.00
283.00;230845886_0;633.12;11.40;153.00;2.60;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.3;130.00;wu_as_to_ba.3;0;1356.50;1.14;0.00;22.40;car;;1;6.00
285.00;972103805_0;116.86;11.45;4.00;2.17;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ko.0;281.00;wu_od_to_ko.0;0;2307.67;1.11;0.00;81.62;car;;1;57.00
287.00;972103805_0;116.86;12.49;40.00;0.97;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ko.1;247.00;wu_od_to_ko.1;0;2307.67;1.13;0.00;52.01;car;;1;6.00
290.00;45494495_0;58.90;10.03;190.00;1.87;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.5;100.00;wu_od_to_os.5;0;969.96;0.96;0.00;8.99;car;;0;0.00
293.00;28706217_0;94.10;7.16;40.00;2.88;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_sl.0;253.00;wu_ba_to_sl.0;0;1934.94;0.93;0.00;58.83;car;;2;22.00
295.00;28706217_0;94.10;7.20;53.00;0.53;23687583_0;5.10;0.00;tripinfo_wu_as_to_sl.0;242.00;wu_as_to_sl.0;0;1976.75;0.98;0.00;55.01;car;;2;19.00
296.00;23156030#6_1;109.07;10.52;56.00;2.77;23687583_0;5.10;0.00;tripinfo_wu_as_to_od.0;240.00;wu_as_to_od.0;0;2357.31;0.99;0.00;24.99;car;;0;0.00
297.00;23156030#6_0;109.07;10.26;37.00;0.14;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_od.0;260.00;wu_ba_to_od.0;0;2315.50;0.94;0.00;36.88;car;;1;5.00
298.00;28716808#1_0;754.74;10.76;182.00;0.40;23687583_0;5.10;0.00;tripinfo_wu_as_to_kl.1;116.00;wu_as_to_kl.1;0;1207.92;1.04;0.00;9.71;car;;0;0.00
301.00;23527526_0;253.75;11.29;23.00;0.29;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_gj.0;278.00;wu_od_to_gj.0;0;2706.99;1.02;0.00;37.45;car;;1;8.00
302.00;28716808#1_0;754.74;10.58;17.00;0.28;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_kl.1;285.00;wu_od_to_kl.1;0;2678.40;1.02;0.00;48.20;car;;2;11.00
307.00;230845886_0;633.12;8.85;43.00;2.76;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ba.2;264.00;wu_od_to_ba.2;0;2382.14;0.89;0.00;21.17;car;;0;0.00
310.00;972103805_0;116.86;10.25;174.00;2.82;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.3;136.00;wu_as_to_ko.3;0;1102.39;0.98;0.00;34.55;car;;1;15.00
312.00;972103805_0;116.86;12.48;189.00;0.82;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.4;123.00;wu_as_to_ko.4;0;1102.39;1.15;0.00;35.88;car;;1;15.00
313.00;28706217_0;94.10;8.22;99.00;0.74;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_sl.1;214.00;wu_ba_to_sl.1;0;1934.94;0.99;0.00;32.68;car;;1;1.00
314.00;972103805_0;116.86;12.96;204.00;3.02;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.5;110.00;wu_as_to_ko.5;0;1102.39;1.17;0.00;24.48;car;;1;4.00
316.00;23142338#2_0;290.21;10.17;108.00;0.47;23687583_0;5.10;0.00;tripinfo_wu_as_to_ns.2;208.00;wu_as_to_ns.2;0;1995.73;1.03;0.00;32.06;car;;2;8.00
319.00;23156390_0;1121.44;12.19;20.00;1.32;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_br.0;299.00;wu_od_to_br.0;0;3149.31;1.10;0.00;40.14;car;;0;0.00
321.00;23142338#2_0;290.21;11.43;64.00;0.42;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ns.1;257.00;wu_od_to_ns.1;0;1928.29;1.07;0.00;82.22;car;;1;57.00
322.00;45494495_0;58.90;11.26;140.00;0.82;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_os.1;182.00;wu_ba_to_os.1;0;1647.96;1.06;0.00;40.96;car;;0;0.00
327.00;23527526_0;253.75;12.81;154.00;0.81;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_gj.1;173.00;wu_ba_to_gj.1;0;1755.68;1.26;0.00;45.10;car;;1;3.00
