tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
95.00;23156030#6_0;109.07;10.98;10.00;0.26;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.0;85.00;wu_os_to_od.0;0;865.51;0.99;0.00;6.14;car;;0;0.00
111.00;28706217_0;94.10;6.67;22.00;3.61;-45494495_0;5.10;0.00;tripinfo_wu_os_to_sl.0;89.00;wu_os_to_sl.0;0;484.95;0.87;0.00;32.31;car;;2;17.00
112.00;45494495_0;58.90;9.57;10.00;2.62;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.0;102.00;wu_od_to_os.0;0;969.96;0.94;0.00;8.36;car;;0;0.00
143.00;28716808#1_0;754.74;9.76;10.00;1.45;23687583_0;5.10;0.00;tripinfo_wu_as_to_kl.0;133.00;wu_as_to_kl.0;0;1207.92;0.90;0.00;11.04;car;;0;0.00
151.00;230845886_0;633.12;10.28;13.00;0.07;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.0;138.00;wu_as_to_ba.0;0;1356.50;1.00;0.00;15.09;car;;0;0.00
153.00;972103805_0;116.86;10.66;44.00;2.41;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.0;109.00;wu_as_to_ko.0;0;1102.39;1.02;0.00;10.66;car;;0;0.00
159.00;23156030#6_0;109.07;9.02;56.00;0.35;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.1;103.00;wu_os_to_od.1;0;865.51;0.90;0.00;16.09;car;;1;4.00
161.00;41899283#1_0;148.70;10.90;9.00;0.19;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_as.0;152.00;wu_ba_to_as.0;0;1430.78;0.99;0.00;20.23;car;;1;5.00
162.00;45494495_0;58.90;8.60;46.00;4.45;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.1;116.00;wu_od_to_os.1;0;969.96;0.84;0.00;12.03;car;;0;0.00
164.00;45494495_0;58.90;10.16;58.00;0.15;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.2;106.00;wu_od_to_os.2;0;969.96;0.94;0.00;12.03;car;;0;0.00
167.00;972103805_0;116.86;9.46;14.00;0.95;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.0;153.00;wu_ns_to_ko.0;0;1398.55;0.92;0.00;16.54;car;;0;0.00
174.00;45494495_0;58.90;9.88;3.00;0.17;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.0;171.00;wu_as_to_os.0;0;1689.77;0.99;0.00;17.39;car;;1;1.00
177.00;230845886_0;633.12;9.65;27.00;0.49;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.1;150.00;wu_as_to_ba.1;0;1356.50;0.94;0.00;19.15;car;;1;3.00
188.00;41899283#1_0;148.70;10.55;19.00;0.87;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.0;169.00;wu_os_to_as.0;0;1746.47;1.03;0.00;15.64;car;;0;0.00
191.00;23527526_0;253.75;11.23;12.00;0.88;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_gj.0;179.00;wu_ba_to_gj.0;0;1755.68;1.05;0.00;26.24;car;;1;2.00
192.00;41899283#1_0;148.70;11.53;25.00;5.40;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.1;167.00;wu_os_to_as.1;0;1746.47;1.07;0.00;18.26;car;;0;0.00
202.00;230845886_0;633.12;11.21;80.00;0.16;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.2;122.00;wu_as_to_ba.2;0;1356.50;1.11;0.00;10.76;car;;0;0.00
205.00;45494495_0;58.90;10.17;104.00;2.33;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.3;101.00;wu_od_to_os.3;0;969.96;0.95;0.00;8.26;car;;0;0.00
