tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
85.00;28706217_0;94.10;8.63;22.00;3.61;-45494495_0;5.10;0.00;tripinfo_wu_os_to_sl.0;63.00;wu_os_to_sl.0;0;484.95;1.05;0.00;16.69;car;;1;8.00
103.00;23156030#6_0;109.07;9.24;10.00;0.26;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.0;93.00;wu_os_to_od.0;0;865.51;0.91;0.00;7.13;car;;0;0.00
123.00;45494495_0;58.90;9.09;10.00;2.62;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.0;113.00;wu_od_to_os.0;0;969.96;0.84;0.00;8.90;car;;0;0.00
133.00;230845886_0;633.12;12.66;13.00;0.07;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.0;120.00;wu_as_to_ba.0;0;1356.50;1.16;0.00;13.76;car;;0;0.00
139.00;45494495_0;58.90;13.18;58.00;0.15;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.2;81.00;wu_od_to_os.2;0;969.96;1.20;0.00;6.91;car;;0;0.00
142.00;41899283#1_0;148.70;11.71;9.00;0.19;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_as.0;133.00;wu_ba_to_as.0;0;1430.78;1.07;0.00;11.46;car;;0;0.00
152.00;23156030#6_0;109.07;9.46;56.00;0.35;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.1;96.00;wu_os_to_od.1;0;865.51;0.89;0.00;7.88;car;;0;0.00
156.00;28716808#1_0;754.74;7.97;10.00;1.45;23687583_0;5.10;0.00;tripinfo_wu_as_to_kl.0;146.00;wu_as_to_kl.0;0;1207.92;0.82;0.00;12.28;car;;0;0.00
158.00;972103805_0;116.86;10.73;14.00;0.95;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.0;144.00;wu_ns_to_ko.0;0;1398.55;0.97;0.00;13.43;car;;0;0.00
159.00;230845886_0;633.12;10.34;27.00;0.49;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.1;132.00;wu_as_to_ba.1;0;1356.50;1.01;0.00;10.48;car;;0;0.00
174.00;41899283#1_0;148.70;12.21;19.00;0.87;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.0;155.00;wu_os_to_as.0;0;1746.47;1.11;0.00;12.06;car;;0;0.00
175.00;972103805_0;116.86;10.24;44.00;2.41;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.0;131.00;wu_as_to_ko.0;0;1102.39;0.97;0.00;28.54;car;;1;17.00
176.00;23527526_0;253.75;10.96;12.00;0.88;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_gj.0;164.00;wu_ba_to_gj.0;0;1755.68;1.05;0.00;12.12;car;;0;0.00
185.00;45494495_0;58.90;7.32;46.00;4.45;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.1;139.00;wu_od_to_os.1;0;969.96;0.70;0.00;13.49;car;;0;0.00
187.00;45494495_0;58.90;9.72;3.00;0.17;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.0;184.00;wu_as_to_os.0;0;1689.77;0.93;0.00;19.92;car;;0;0.00
202.00;45494495_0;58.90;10.62;104.00;2.33;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.3;98.00;wu_od_to_os.3;0;969.96;0.97;0.00;7.71;car;;0;0.00
207.00;230845886_0;633.12;11.43;80.00;0.16;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.2;127.00;wu_as_to_ba.2;0;1356.50;1.04;0.00;9.28;car;;0;0.00
