tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
91.00;23156030#6_0;109.07;10.51;10.00;0.26;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.0;81.00;wu_os_to_od.0;0;865.51;1.04;0.00;6.14;car;;0;0.00
109.00;45494495_0;58.90;10.38;10.00;2.62;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.0;99.00;wu_od_to_os.0;0;969.96;0.97;0.00;8.89;car;;0;0.00
112.00;28706217_0;94.10;8.15;22.00;3.61;-45494495_0;5.10;0.00;tripinfo_wu_os_to_sl.0;90.00;wu_os_to_sl.0;0;484.95;1.10;0.00;44.92;car;;2;27.00
137.00;230845886_0;633.12;11.33;13.00;0.07;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.0;124.00;wu_as_to_ba.0;0;1356.50;1.10;0.00;12.51;car;;0;0.00
146.00;23156030#6_0;109.07;12.60;56.00;0.35;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.1;90.00;wu_os_to_od.1;0;865.51;1.14;0.00;20.82;car;;1;9.00
153.00;28716808#1_0;754.74;8.41;10.00;1.45;23687583_0;5.10;0.00;tripinfo_wu_as_to_kl.0;143.00;wu_as_to_kl.0;0;1207.92;0.83;0.00;11.88;car;;0;0.00
153.00;230845886_0;633.12;11.41;27.00;0.49;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.1;126.00;wu_as_to_ba.1;0;1356.50;1.06;0.00;10.57;car;;0;0.00
153.00;972103805_0;116.86;10.63;44.00;2.41;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.0;109.00;wu_as_to_ko.0;0;1102.39;1.01;0.00;10.55;car;;0;0.00
159.00;45494495_0;58.90;9.10;46.00;4.45;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.1;113.00;wu_od_to_os.1;0;969.96;0.86;0.00;10.28;car;;0;0.00
161.00;41899283#1_0;148.70;10.44;9.00;0.19;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_as.0;152.00;wu_ba_to_as.0;0;1430.78;1.00;0.00;21.90;car;;1;5.00
163.00;972103805_0;116.86;9.94;14.00;0.95;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.0;149.00;wu_ns_to_ko.0;0;1398.55;1.00;0.00;22.98;car;;1;6.00
169.00;45494495_0;58.90;8.97;58.00;0.15;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.2;111.00;wu_od_to_os.2;0;969.96;0.87;0.00;9.73;car;;0;0.00
195.00;23527526_0;253.75;10.78;12.00;0.88;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_gj.0;183.00;wu_ba_to_gj.0;0;1755.68;0.99;0.00;21.96;car;;1;2.00
198.00;41899283#1_0;148.70;11.69;25.00;5.40;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.1;173.00;wu_os_to_as.1;0;1746.47;1.08;0.00;25.75;car;;0;0.00
203.00;23142338#2_0;290.21;10.50;7.00;0.86;23687583_0;5.10;0.00;tripinfo_wu_as_to_ns.0;196.00;wu_as_to_ns.0;0;1995.73;1.04;0.00;21.12;car;;0;0.00
203.00;41899283#1_0;148.70;10.19;19.00;0.87;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.0;184.00;wu_os_to_as.0;0;1746.47;0.94;0.00;15.17;car;;0;0.00
203.00;230845886_0;633.12;10.96;80.00;0.16;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.2;123.00;wu_as_to_ba.2;0;1356.50;1.08;0.00;9.07;car;;0;0.00
204.00;45494495_0;58.90;10.24;104.00;2.33;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.3;100.00;wu_od_to_os.3;0;969.96;0.97;0.00;9.74;car;;0;0.00
206.00;45494495_0;58.90;11.34;111.00;2.48;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.4;95.00;wu_od_to_os.4;0;969.96;1.05;0.00;10.99;car;;0;0.00
207.00;972103805_0;116.86;11.87;66.00;0.28;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.1;141.00;wu_ns_to_ko.1;0;1398.55;1.09;0.00;25.28;car;;1;8.00
213.00;45494495_0;58.90;8.03;3.00;0.17;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.0;210.00;wu_as_to_os.0;0;1689.77;0.82;0.00;23.36;car;;1;2.00
224.00;23527526_0;253.75;11.88;5.00;2.64;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_gj.0;219.00;wu_ns_to_gj.0;0;2084.96;1.08;0.00;43.92;car;;2;21.00
225.00;45494495_0;58.90;8.81;41.00;1.57;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.1;184.00;wu_as_to_os.1;0;1689.77;0.90;0.00;14.12;car;;0;0.00
234.00;972103805_0;116.86;10.90;95.00;0.16;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.2;139.00;wu_ns_to_ko.2;0;1398.55;1.08;0.00;22.63;car;;1;7.00
237.00;28716808#1_0;754.74;12.97;7.00;3.16;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_kl.0;230.00;wu_od_to_kl.0;0;2678.40;1.18;0.00;24.30;car;;1;3.00
244.00;972103805_0;116.86;11.25;131.00;0.89;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.1;113.00;wu_as_to_ko.1;0;1102.39;1.07;0.00;19.40;car;;1;4.00
245.00;45494495_0;58.90;10.98;89.00;0.40;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_os.0;156.00;wu_ba_to_os.0;0;1647.96;1.05;0.00;13.27;car;;0;0.00
254.00;23142338#2_0;290.21;9.72;28.00;0.52;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ns.0;226.00;wu_od_to_ns.0;0;1928.29;0.99;0.00;37.08;car;;1;14.00
262.00;23142338#2_0;290.21;9.86;53.00;0.64;-45494495_0;5.10;0.00;tripinfo_wu_os_to_ns.0;209.00;wu_os_to_ns.0;0;1665.91;0.96;0.00;39.62;car;;2;15.00
263.00;45494495_0;58.90;10.82;89.00;0.55;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.2;174.00;wu_as_to_os.2;0;1689.77;1.01;0.00;22.61;car;;1;5.00
264.00;23527526_0;253.75;10.63;198.00;8.66;23687583_0;5.10;0.00;tripinfo_wu_as_to_gj.0;66.00;wu_as_to_gj.0;0;649.06;1.03;0.00;8.24;car;;0;0.00
