tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
94.00;28706217_0;94.10;6.84;22.00;3.61;-45494495_0;5.10;0.00;tripinfo_wu_os_to_sl.0;72.00;wu_os_to_sl.0;0;484.95;0.97;0.00;21.28;car;;1;8.00
100.00;23156030#6_0;109.07;9.48;10.00;0.26;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.0;90.00;wu_os_to_od.0;0;865.51;0.97;0.00;8.89;car;;0;0.00
120.00;45494495_0;58.90;9.29;10.00;2.62;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.0;110.00;wu_od_to_os.0;0;969.96;0.87;0.00;9.15;car;;0;0.00
136.00;28716808#1_0;754.74;9.53;10.00;1.45;23687583_0;5.10;0.00;tripinfo_wu_as_to_kl.0;126.00;wu_as_to_kl.0;0;1207.92;0.95;0.00;11.00;car;;0;0.00
138.00;45494495_0;58.90;11.10;46.00;4.45;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.1;92.00;wu_od_to_os.1;0;969.96;1.05;0.00;7.89;car;;0;0.00
151.00;23156030#6_0;109.07;10.93;56.00;0.35;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.1;95.00;wu_os_to_od.1;0;865.51;1.02;0.00;18.71;car;;1;8.00
151.00;45494495_0;58.90;11.04;58.00;0.15;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.2;93.00;wu_od_to_os.2;0;969.96;1.04;0.00;8.70;car;;0;0.00
161.00;972103805_0;116.86;9.52;44.00;2.41;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.0;117.00;wu_as_to_ko.0;0;1102.39;0.93;0.00;10.20;car;;0;0.00
166.00;972103805_0;116.86;9.73;14.00;0.95;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.0;152.00;wu_ns_to_ko.0;0;1398.55;0.96;0.00;20.34;car;;0;0.00
168.00;230845886_0;633.12;8.97;13.00;0.07;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.0;155.00;wu_as_to_ba.0;0;1356.50;0.85;0.00;11.79;car;;0;0.00
