tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
117.00;45494495_0;58.90;9.89;10.00;2.62;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.0;107.00;wu_od_to_os.0;0;969.96;0.90;0.00;9.33;car;;0;0.00
123.00;28706217_0;94.10;8.23;22.00;3.61;-45494495_0;5.10;0.00;tripinfo_wu_os_to_sl.0;101.00;wu_os_to_sl.0;0;484.95;1.12;0.00;56.55;car;;2;42.00
133.00;28716808#1_0;754.74;10.69;10.00;1.45;23687583_0;5.10;0.00;tripinfo_wu_as_to_kl.0;123.00;wu_as_to_kl.0;0;1207.92;0.98;0.00;10.96;car;;0;0.00
134.00;45494495_0;58.90;11.12;46.00;4.45;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.1;88.00;wu_od_to_os.1;0;969.96;1.10;0.00;8.15;car;;0;0.00
135.00;23156030#6_0;109.07;8.81;10.00;0.26;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.0;125.00;wu_os_to_od.0;0;865.51;0.84;0.00;32.04;car;;1;19.00
144.00;41899283#1_0;148.70;10.85;9.00;0.19;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_as.0;135.00;wu_ba_to_as.0;0;1430.78;1.05;0.00;11.25;car;;0;0.00
145.00;23156030#6_0;109.07;12.45;56.00;0.35;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.1;89.00;wu_os_to_od.1;0;865.51;1.14;0.00;20.69;car;;1;8.00
147.00;230845886_0;633.12;10.41;13.00;0.07;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.0;134.00;wu_as_to_ba.0;0;1356.50;1.01;0.00;12.22;car;;0;0.00
154.00;972103805_0;116.86;11.23;44.00;2.41;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.0;110.00;wu_as_to_ko.0;0;1102.39;1.04;0.00;14.12;car;;1;1.00
161.00;45494495_0;58.90;10.00;58.00;0.15;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.2;103.00;wu_od_to_os.2;0;969.96;0.94;0.00;8.94;car;;0;0.00
