tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
101.00;23156030#6_0;109.07;10.88;10.00;0.26;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.0;91.00;wu_os_to_od.0;0;865.51;1.03;0.00;14.23;car;;1;5.00
103.00;45494495_0;58.90;10.48;10.00;2.62;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.0;93.00;wu_od_to_os.0;0;969.96;1.04;0.00;8.10;car;;0;0.00
124.00;28706217_0;94.10;6.96;22.00;3.61;-45494495_0;5.10;0.00;tripinfo_wu_os_to_sl.0;102.00;wu_os_to_sl.0;0;484.95;0.84;0.00;43.33;car;;1;33.00
146.00;41899283#1_0;148.70;11.71;9.00;0.19;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_as.0;137.00;wu_ba_to_as.0;0;1430.78;1.13;0.00;21.86;car;;1;5.00
149.00;23156030#6_0;109.07;10.10;56.00;0.35;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.1;93.00;wu_os_to_od.1;0;865.51;0.98;0.00;13.21;car;;1;1.00
151.00;230845886_0;633.12;11.09;13.00;0.07;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.0;138.00;wu_as_to_ba.0;0;1356.50;1.08;0.00;23.72;car;;1;1.00
155.00;45494495_0;58.90;9.65;46.00;4.45;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.1;109.00;wu_od_to_os.1;0;969.96;0.91;0.00;12.86;car;;0;0.00
163.00;28716808#1_0;754.74;8.24;10.00;1.45;23687583_0;5.10;0.00;tripinfo_wu_as_to_kl.0;153.00;wu_as_to_kl.0;0;1207.92;0.79;0.00;14.06;car;;0;0.00
163.00;972103805_0;116.86;10.59;14.00;0.95;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.0;149.00;wu_ns_to_ko.0;0;1398.55;0.96;0.00;17.74;car;;1;2.00
164.00;45494495_0;58.90;9.36;58.00;0.15;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.2;106.00;wu_od_to_os.2;0;969.96;0.91;0.00;9.83;car;;0;0.00
166.00;230845886_0;633.12;11.52;27.00;0.49;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.1;139.00;wu_as_to_ba.1;0;1356.50;1.06;0.00;22.93;car;;1;8.00
168.00;972103805_0;116.86;11.24;44.00;2.41;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.0;124.00;wu_as_to_ko.0;0;1102.39;1.06;0.00;30.10;car;;1;16.00
178.00;23527526_0;253.75;11.16;12.00;0.88;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_gj.0;166.00;wu_ba_to_gj.0;0;1755.68;1.08;0.00;18.15;car;;0;0.00
195.00;45494495_0;58.90;11.80;41.00;1.57;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.1;154.00;wu_as_to_os.1;0;1689.77;1.12;0.00;17.51;car;;0;0.00
200.00;45494495_0;58.90;9.38;3.00;0.17;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.0;197.00;wu_as_to_os.0;0;1689.77;0.88;0.00;23.22;car;;1;6.00
202.00;23527526_0;253.75;11.08;5.00;2.64;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_gj.0;197.00;wu_ns_to_gj.0;0;2084.96;1.11;0.00;27.34;car;;1;8.00
204.00;230845886_0;633.12;11.82;80.00;0.16;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.2;124.00;wu_as_to_ba.2;0;1356.50;1.07;0.00;9.88;car;;0;0.00
210.00;45494495_0;58.90;9.43;104.00;2.33;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.3;106.00;wu_od_to_os.3;0;969.96;0.90;0.00;9.04;car;;0;0.00
211.00;41899283#1_0;148.70;9.39;25.00;5.40;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.1;186.00;wu_os_to_as.1;0;1746.47;0.95;0.00;18.79;car;;0;0.00
212.00;45494495_0;58.90;10.77;111.00;2.48;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.4;101.00;wu_od_to_os.4;0;969.96;0.97;0.00;11.01;car;;0;0.00
216.00;41899283#1_0;148.70;9.82;19.00;0.87;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.0;197.00;wu_os_to_as.0;0;1746.47;0.88;0.00;17.61;car;;0;0.00
230.00;23142338#2_0;290.21;10.22;7.00;0.86;23687583_0;5.10;0.00;tripinfo_wu_as_to_ns.0;223.00;wu_as_to_ns.0;0;1995.73;0.92;0.00;26.06;car;;1;5.00
232.00;23142338#2_0;290.21;11.10;28.00;0.52;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ns.0;204.00;wu_od_to_ns.0;0;1928.29;1.08;0.00;30.86;car;;2;6.00
232.00;45494495_0;58.90;11.61;89.00;0.40;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_os.0;143.00;wu_ba_to_os.0;0;1647.96;1.14;0.00;11.79;car;;0;0.00
233.00;972103805_0;116.86;10.96;32.00;0.31;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_ko.0;201.00;wu_ba_to_ko.0;0;2114.29;1.06;0.00;20.47;car;;0;0.00
247.00;230845886_0;633.12;9.50;1.00;0.21;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ba.0;246.00;wu_od_to_ba.0;0;2382.14;0.94;0.00;17.24;car;;0;0.00
