tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
109.00;28706217_0;94.10;6.80;22.00;3.61;-45494495_0;5.10;0.00;tripinfo_wu_os_to_sl.0;87.00;wu_os_to_sl.0;0;484.95;0.95;0.00;35.10;car;;2;21.00
113.00;45494495_0;58.90;9.79;10.00;2.62;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.0;103.00;wu_od_to_os.0;0;969.96;0.94;0.00;8.82;car;;0;0.00
123.00;28716808#1_0;754.74;12.21;10.00;1.45;23687583_0;5.10;0.00;tripinfo_wu_as_to_kl.0;113.00;wu_as_to_kl.0;0;1207.92;1.11;0.00;13.07;car;;0;0.00
134.00;23156030#6_0;109.07;8.58;10.00;0.26;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.0;124.00;wu_os_to_od.0;0;865.51;0.85;0.00;31.68;car;;1;18.00
141.00;230845886_0;633.12;10.59;13.00;0.07;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.0;128.00;wu_as_to_ba.0;0;1356.50;1.05;0.00;12.06;car;;0;0.00
147.00;45494495_0;58.90;9.35;46.00;4.45;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.1;101.00;wu_od_to_os.1;0;969.96;0.95;0.00;8.64;car;;0;0.00
150.00;45494495_0;58.90;11.22;58.00;0.15;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.2;92.00;wu_od_to_os.2;0;969.96;1.04;0.00;7.74;car;;0;0.00
160.00;41899283#1_0;148.70;10.17;9.00;0.19;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_as.0;151.00;wu_ba_to_as.0;0;1430.78;0.96;0.00;16.01;car;;1;1.00
162.00;23156030#6_0;109.07;8.36;56.00;0.35;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.1;106.00;wu_os_to_od.1;0;865.51;0.87;0.00;15.92;car;;1;2.00
166.00;972103805_0;116.86;10.52;14.00;0.95;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.0;152.00;wu_ns_to_ko.0;0;1398.55;0.96;0.00;20.69;car;;1;4.00
167.00;41899283#1_0;148.70;13.06;19.00;0.87;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.0;148.00;wu_os_to_as.0;0;1746.47;1.18;0.00;13.86;car;;0;0.00
173.00;230845886_0;633.12;10.75;27.00;0.49;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.1;146.00;wu_as_to_ba.1;0;1356.50;0.97;0.00;20.06;car;;1;5.00
180.00;45494495_0;58.90;9.75;3.00;0.17;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.0;177.00;wu_as_to_os.0;0;1689.77;0.96;0.00;17.30;car;;0;0.00
184.00;23527526_0;253.75;11.45;12.00;0.88;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_gj.0;172.00;wu_ba_to_gj.0;0;1755.68;1.09;0.00;25.55;car;;0;0.00
187.00;972103805_0;116.86;8.76;44.00;2.41;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.0;143.00;wu_as_to_ko.0;0;1102.39;0.87;0.00;28.84;car;;1;14.00
196.00;41899283#1_0;148.70;11.07;25.00;5.40;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.1;171.00;wu_os_to_as.1;0;1746.47;1.04;0.00;18.43;car;;0;0.00
197.00;230845886_0;633.12;13.20;80.00;0.16;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.2;117.00;wu_as_to_ba.2;0;1356.50;1.22;0.00;16.23;car;;0;0.00
203.00;45494495_0;58.90;10.77;41.00;1.57;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.1;162.00;wu_as_to_os.1;0;1689.77;1.03;0.00;13.86;car;;0;0.00
205.00;45494495_0;58.90;11.98;111.00;2.48;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.4;94.00;wu_od_to_os.4;0;969.96;1.14;0.00;17.17;car;;0;0.00
209.00;45494495_0;58.90;9.84;104.00;2.33;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.3;105.00;wu_od_to_os.3;0;969.96;0.97;0.00;14.35;car;;1;1.00
220.00;23142338#2_0;290.21;11.37;28.00;0.52;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ns.0;192.00;wu_od_to_ns.0;0;1928.29;1.09;0.00;21.60;car;;1;1.00
229.00;972103805_0;116.86;8.24;66.00;0.28;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.1;163.00;wu_ns_to_ko.1;0;1398.55;0.85;0.00;13.98;car;;0;0.00
232.00;23527526_0;253.75;10.40;5.00;2.64;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_gj.0;227.00;wu_ns_to_gj.0;0;2084.96;0.98;0.00;34.89;car;;2;9.00
234.00;23156030#6_0;109.07;12.91;37.00;0.14;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_od.0;197.00;wu_ba_to_od.0;0;2315.50;1.19;0.00;21.34;car;;0;0.00
237.00;972103805_0;116.86;11.59;95.00;0.16;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.2;142.00;wu_ns_to_ko.2;0;1398.55;1.04;0.00;21.28;car;;1;6.00
243.00;28716808#1_0;754.74;11.67;7.00;3.16;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_kl.0;236.00;wu_od_to_kl.0;0;2678.40;1.11;0.00;16.77;car;;0;0.00
244.00;23527526_0;253.75;13.12;73.00;0.40;-45494495_0;5.10;0.00;tripinfo_wu_os_to_gj.0;171.00;wu_os_to_gj.0;0;2071.37;1.25;0.00;20.24;car;;0;0.00
244.00;972103805_0;116.86;11.41;131.00;0.89;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.1;113.00;wu_as_to_ko.1;0;1102.39;1.06;0.00;18.79;car;;1;7.00
247.00;972103805_0;116.86;10.20;32.00;0.31;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_ko.0;215.00;wu_ba_to_ko.0;0;2114.29;1.00;0.00;22.06;car;;0;0.00
250.00;23142338#2_0;290.21;8.97;7.00;0.86;23687583_0;5.10;0.00;tripinfo_wu_as_to_ns.0;243.00;wu_as_to_ns.0;0;1995.73;0.83;0.00;25.21;car;;1;1.00
257.00;45494495_0;58.90;10.50;89.00;0.40;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_os.0;168.00;wu_ba_to_os.0;0;1647.96;0.98;0.00;14.94;car;;0;0.00
265.00;972103805_0;116.86;9.22;4.00;2.17;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ko.0;261.00;wu_od_to_ko.0;0;2307.67;0.94;0.00;28.11;car;;1;3.00
266.00;23142338#2_0;290.21;8.61;53.00;0.64;-45494495_0;5.10;0.00;tripinfo_wu_os_to_ns.0;213.00;wu_os_to_ns.0;0;1665.91;0.88;0.00;29.62;car;;1;7.00
267.00;45494495_0;58.90;10.28;89.00;0.55;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.2;178.00;wu_as_to_os.2;0;1689.77;0.98;0.00;22.34;car;;1;5.00
268.00;23142338#2_0;290.21;10.49;38.00;0.89;23687583_0;5.10;0.00;tripinfo_wu_as_to_ns.1;230.00;wu_as_to_ns.1;0;1995.73;1.00;0.00;48.44;car;;1;18.00
