tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
80.00;28706217_0;94.10;7.75;22.00;3.61;-45494495_0;5.10;0.00;tripinfo_wu_os_to_sl.0;58.00;wu_os_to_sl.0;0;484.95;0.98;0.00;7.53;car;;0;0.00
98.00;23156030#6_0;109.07;11.64;10.00;0.26;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.0;88.00;wu_os_to_od.0;0;865.51;1.08;0.00;15.93;car;;1;3.00
107.00;45494495_0;58.90;11.62;10.00;2.62;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.0;97.00;wu_od_to_os.0;0;969.96;1.12;0.00;18.92;car;;0;0.00
139.00;45494495_0;58.90;10.88;46.00;4.45;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.1;93.00;wu_od_to_os.1;0;969.96;1.06;0.00;10.09;car;;0;0.00
141.00;28716808#1_0;754.74;9.34;10.00;1.45;23687583_0;5.10;0.00;tripinfo_wu_as_to_kl.0;131.00;wu_as_to_kl.0;0;1207.92;0.95;0.00;15.45;car;;1;2.00
141.00;23156030#6_0;109.07;12.09;56.00;0.35;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.1;85.00;wu_os_to_od.1;0;865.51;1.13;0.00;15.54;car;;1;3.00
148.00;45494495_0;58.90;10.71;58.00;0.15;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.2;90.00;wu_od_to_os.2;0;969.96;1.07;0.00;7.78;car;;0;0.00
150.00;41899283#1_0;148.70;10.38;9.00;0.19;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_as.0;141.00;wu_ba_to_as.0;0;1430.78;1.01;0.00;12.77;car;;0;0.00
155.00;230845886_0;633.12;10.20;13.00;0.07;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.0;142.00;wu_as_to_ba.0;0;1356.50;0.98;0.00;17.41;car;;0;0.00
157.00;230845886_0;633.12;12.27;27.00;0.49;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.1;130.00;wu_as_to_ba.1;0;1356.50;1.16;0.00;23.80;car;;0;0.00
163.00;45494495_0;58.90;10.67;3.00;0.17;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.0;160.00;wu_as_to_os.0;0;1689.77;1.04;0.00;13.55;car;;0;0.00
163.00;972103805_0;116.86;11.44;43.00;1.41;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.0;120.00;wu_as_to_ko.0;0;1102.39;1.08;0.00;27.26;car;;1;14.00
180.00;23527526_0;253.75;10.23;12.00;0.88;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_gj.0;168.00;wu_ba_to_gj.0;0;1755.68;1.03;0.00;14.23;car;;0;0.00
185.00;972103805_0;116.86;10.43;14.00;0.95;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.0;171.00;wu_ns_to_ko.0;0;1398.55;1.03;0.00;48.10;car;;1;5.00
187.00;41899283#1_0;148.70;10.96;19.00;0.87;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.0;168.00;wu_os_to_as.0;0;1746.47;1.10;0.00;23.76;car;;1;1.00
188.00;45494495_0;58.90;11.71;40.00;0.57;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.1;148.00;wu_as_to_os.1;0;1689.77;1.16;0.00;15.42;car;;0;0.00
196.00;230845886_0;633.12;12.96;80.00;0.16;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.2;116.00;wu_as_to_ba.2;0;1356.50;1.24;0.00;16.85;car;;1;3.00
209.00;45494495_0;58.90;10.05;104.00;2.33;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.3;105.00;wu_od_to_os.3;0;969.96;0.92;0.00;8.86;car;;0;0.00
212.00;41899283#1_0;148.70;10.41;25.00;5.40;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.1;187.00;wu_os_to_as.1;0;1746.47;0.97;0.00;23.51;car;;1;4.00
216.00;45494495_0;58.90;10.13;111.00;2.48;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.4;105.00;wu_od_to_os.4;0;969.96;0.92;0.00;9.23;car;;0;0.00
