tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
97.00;23156030#6_0;109.07;10.11;10.00;0.26;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.0;87.00;wu_os_to_od.0;0;865.51;0.97;0.00;6.27;car;;0;0.00
106.00;28706217_0;94.10;8.10;22.00;3.61;-45494495_0;5.10;0.00;tripinfo_wu_os_to_sl.0;84.00;wu_os_to_sl.0;0;484.95;1.06;0.00;37.36;car;;2;21.00
111.00;45494495_0;58.90;9.58;10.00;2.62;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.0;101.00;wu_od_to_os.0;0;969.96;0.95;0.00;8.73;car;;0;0.00
136.00;45494495_0;58.90;11.41;46.00;4.45;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.1;90.00;wu_od_to_os.1;0;969.96;1.06;0.00;7.14;car;;0;0.00
144.00;41899283#1_0;148.70;11.19;9.00;0.19;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_as.0;135.00;wu_ba_to_as.0;0;1430.78;1.05;0.00;11.49;car;;0;0.00
144.00;45494495_0;58.90;12.27;58.00;0.15;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.2;86.00;wu_od_to_os.2;0;969.96;1.12;0.00;8.02;car;;0;0.00
146.00;28716808#1_0;754.74;8.77;10.00;1.45;23687583_0;5.10;0.00;tripinfo_wu_as_to_kl.0;136.00;wu_as_to_kl.0;0;1207.92;0.88;0.00;10.93;car;;0;0.00
146.00;230845886_0;633.12;11.73;13.00;0.07;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.0;133.00;wu_as_to_ba.0;0;1356.50;1.06;0.00;17.60;car;;0;0.00
152.00;230845886_0;633.12;10.87;27.00;0.49;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.1;125.00;wu_as_to_ba.1;0;1356.50;1.06;0.00;9.27;car;;0;0.00
157.00;972103805_0;116.86;10.50;44.00;2.41;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.0;113.00;wu_as_to_ko.0;0;1102.39;0.96;0.00;9.06;car;;0;0.00
159.00;23156030#6_0;109.07;8.78;56.00;0.35;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.1;103.00;wu_os_to_od.1;0;865.51;0.90;0.00;16.56;car;;1;2.00
165.00;45494495_0;58.90;11.33;3.00;0.17;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.0;162.00;wu_as_to_os.0;0;1689.77;1.08;0.00;20.67;car;;1;4.00
188.00;41899283#1_0;148.70;10.94;19.00;0.87;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.0;169.00;wu_os_to_as.0;0;1746.47;1.02;0.00;13.31;car;;0;0.00
194.00;23527526_0;253.75;9.84;12.00;0.88;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_gj.0;182.00;wu_ba_to_gj.0;0;1755.68;0.95;0.00;14.81;car;;0;0.00
195.00;972103805_0;116.86;9.11;14.00;0.95;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.0;181.00;wu_ns_to_ko.0;0;1398.55;0.88;0.00;37.03;car;;1;20.00
199.00;41899283#1_0;148.70;10.33;25.00;5.40;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.1;174.00;wu_os_to_as.1;0;1746.47;0.99;0.00;14.09;car;;0;0.00
199.00;45494495_0;58.90;10.96;104.00;2.33;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.3;95.00;wu_od_to_os.3;0;969.96;1.01;0.00;8.33;car;;0;0.00
