tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
93.00;23156030#6_0;109.07;11.20;10.00;0.26;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.0;83.00;wu_os_to_od.0;0;865.51;1.02;0.00;6.54;car;;0;0.00
102.00;45494495_0;58.90;11.40;10.00;2.62;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.0;92.00;wu_od_to_os.0;0;969.96;1.06;0.00;9.54;car;;0;0.00
127.00;28706217_0;94.10;8.23;22.00;3.61;-45494495_0;5.10;0.00;tripinfo_wu_os_to_sl.0;105.00;wu_os_to_sl.0;0;484.95;1.01;0.00;56.42;car;;2;41.00
134.00;230845886_0;633.12;12.61;13.00;0.07;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.0;121.00;wu_as_to_ba.0;0;1356.50;1.16;0.00;15.48;car;;0;0.00
138.00;45494495_0;58.90;11.14;46.00;4.45;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.1;92.00;wu_od_to_os.1;0;969.96;1.07;0.00;9.03;car;;0;0.00
149.00;23156030#6_0;109.07;10.72;56.00;0.35;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.1;93.00;wu_os_to_od.1;0;865.51;1.08;0.00;20.08;car;;1;7.00
155.00;972103805_0;116.86;10.07;44.00;2.41;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.0;111.00;wu_as_to_ko.0;0;1102.39;1.01;0.00;11.53;car;;0;0.00
156.00;28716808#1_0;754.74;9.05;10.00;1.45;23687583_0;5.10;0.00;tripinfo_wu_as_to_kl.0;146.00;wu_as_to_kl.0;0;1207.92;0.83;0.00;13.49;car;;0;0.00
156.00;45494495_0;58.90;10.47;58.00;0.15;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.2;98.00;wu_od_to_os.2;0;969.96;0.98;0.00;8.69;car;;0;0.00
160.00;41899283#1_0;148.70;10.28;9.00;0.19;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_as.0;151.00;wu_ba_to_as.0;0;1430.78;1.01;0.00;22.80;car;;1;7.00
164.00;972103805_0;116.86;9.47;14.00;0.95;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.0;150.00;wu_ns_to_ko.0;0;1398.55;0.93;0.00;14.70;car;;0;0.00
176.00;230845886_0;633.12;9.69;27.00;0.49;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.1;149.00;wu_as_to_ba.1;0;1356.50;0.95;0.00;20.39;car;;1;5.00
183.00;45494495_0;58.90;8.91;3.00;0.17;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.0;180.00;wu_as_to_os.0;0;1689.77;0.91;0.00;13.12;car;;0;0.00
192.00;41899283#1_0;148.70;11.00;19.00;0.87;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.0;173.00;wu_os_to_as.0;0;1746.47;1.03;0.00;19.47;car;;0;0.00
193.00;45494495_0;58.90;10.96;104.00;2.33;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.3;89.00;wu_od_to_os.3;0;969.96;1.09;0.00;8.80;car;;0;0.00
198.00;41899283#1_0;148.70;11.13;25.00;5.40;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.1;173.00;wu_os_to_as.1;0;1746.47;1.01;0.00;15.79;car;;0;0.00
205.00;23527526_0;253.75;9.40;12.00;0.88;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_gj.0;193.00;wu_ba_to_gj.0;0;1755.68;0.90;0.00;15.79;car;;0;0.00
207.00;23142338#2_0;290.21;10.11;7.00;0.86;23687583_0;5.10;0.00;tripinfo_wu_as_to_ns.0;200.00;wu_as_to_ns.0;0;1995.73;1.00;0.00;18.47;car;;0;0.00
208.00;230845886_0;633.12;10.80;80.00;0.16;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.2;128.00;wu_as_to_ba.2;0;1356.50;1.04;0.00;10.25;car;;0;0.00
216.00;45494495_0;58.90;9.88;111.00;2.48;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.4;105.00;wu_od_to_os.4;0;969.96;0.92;0.00;9.58;car;;0;0.00
223.00;972103805_0;116.86;11.10;66.00;0.28;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.1;157.00;wu_ns_to_ko.1;0;1398.55;1.03;0.00;33.41;car;;2;12.00
227.00;23527526_0;253.75;10.39;5.00;2.64;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_gj.0;222.00;wu_ns_to_gj.0;0;2084.96;1.02;0.00;37.54;car;;2;13.00
230.00;45494495_0;58.90;9.35;41.00;1.57;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.1;189.00;wu_as_to_os.1;0;1689.77;0.88;0.00;16.53;car;;0;0.00
238.00;972103805_0;116.86;11.41;95.00;0.16;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.2;143.00;wu_ns_to_ko.2;0;1398.55;1.04;0.00;21.90;car;;1;5.00
241.00;972103805_0;116.86;12.38;131.00;0.89;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.1;110.00;wu_as_to_ko.1;0;1102.39;1.23;0.00;28.62;car;;2;6.00
253.00;23142338#2_0;290.21;9.93;28.00;0.52;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_ns.0;225.00;wu_od_to_ns.0;0;1928.29;1.00;0.00;39.70;car;;1;17.00
254.00;45494495_0;58.90;10.88;89.00;0.40;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_os.0;165.00;wu_ba_to_os.0;0;1647.96;1.01;0.00;17.28;car;;0;0.00
