tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
76.00;28706217_0;94.10;8.65;22.00;3.61;-45494495_0;5.10;0.00;tripinfo_wu_os_to_sl.0;54.00;wu_os_to_sl.0;0;484.95;1.06;0.00;7.41;car;;0;0.00
105.00;45494495_0;58.90;10.77;10.00;2.62;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.0;95.00;wu_od_to_os.0;0;969.96;1.01;0.00;8.19;car;;0;0.00
113.00;23156030#6_0;109.07;9.26;10.00;0.26;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.0;103.00;wu_os_to_od.0;0;865.51;0.84;0.00;9.94;car;;0;0.00
124.00;28716808#1_0;754.74;13.00;10.00;1.45;23687583_0;5.10;0.00;tripinfo_wu_as_to_kl.0;114.00;wu_as_to_kl.0;0;1207.92;1.20;0.00;23.13;car;;1;7.00
143.00;230845886_0;633.12;12.26;13.00;0.07;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.0;130.00;wu_as_to_ba.0;0;1356.50;1.13;0.00;22.38;car;;1;7.00
143.00;23156030#6_0;109.07;10.30;56.00;0.35;-45494495_0;5.10;0.00;tripinfo_wu_os_to_od.1;87.00;wu_os_to_od.1;0;865.51;0.99;0.00;7.70;car;;0;0.00
145.00;230845886_0;633.12;12.36;27.00;0.49;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.1;118.00;wu_as_to_ba.1;0;1356.50;1.16;0.00;12.49;car;;0;0.00
150.00;45494495_0;58.90;9.80;46.00;4.45;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.1;104.00;wu_od_to_os.1;0;969.96;0.92;0.00;8.58;car;;0;0.00
152.00;45494495_0;58.90;11.80;58.00;0.15;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.2;94.00;wu_od_to_os.2;0;969.96;1.09;0.00;13.04;car;;0;0.00
154.00;45494495_0;58.90;11.51;3.00;0.17;23687583_0;5.10;0.00;tripinfo_wu_as_to_os.0;151.00;wu_as_to_os.0;0;1689.77;1.15;0.00;17.31;car;;0;0.00
163.00;972103805_0;116.86;11.10;44.00;2.41;23687583_0;5.10;0.00;tripinfo_wu_as_to_ko.0;119.00;wu_as_to_ko.0;0;1102.39;1.09;0.00;27.57;car;;1;13.00
167.00;972103805_0;116.86;11.28;14.00;0.95;-23142338#2_0;5.10;0.00;tripinfo_wu_ns_to_ko.0;153.00;wu_ns_to_ko.0;0;1398.55;1.04;0.00;31.20;car;;0;0.00
178.00;41899283#1_0;148.70;8.47;9.00;0.19;-230845886_0;5.10;0.00;tripinfo_wu_ba_to_as.0;169.00;wu_ba_to_as.0;0;1430.78;0.86;0.00;17.87;car;;0;0.00
200.00;230845886_0;633.12;11.81;80.00;0.16;23687583_0;5.10;0.00;tripinfo_wu_as_to_ba.2;120.00;wu_as_to_ba.2;0;1356.50;1.16;0.00;14.00;car;;0;0.00
214.00;41899283#1_0;148.70;9.38;25.00;5.40;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.1;189.00;wu_os_to_as.1;0;1746.47;0.94;0.00;19.67;car;;0;0.00
215.00;45494495_0;58.90;8.81;104.00;2.33;803785575#0_0;5.10;0.00;tripinfo_wu_od_to_os.3;111.00;wu_od_to_os.3;0;969.96;0.87;0.00;9.44;car;;0;0.00
216.00;41899283#1_0;148.70;9.43;19.00;0.87;-45494495_0;5.10;0.00;tripinfo_wu_os_to_as.0;197.00;wu_os_to_as.0;0;1746.47;0.91;0.00;23.58;car;;1;2.00
