tripinfo_id;tripinfo_depart;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_departDelay;tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_duration;tripinfo_routeLength;tripinfo_waitingTime;tripinfo_waitingCount;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_rerouteNo;tripinfo_devices;tripinfo_vType;tripinfo_speedFactor;tripinfo_vaporized
wu_od_to_os.0;10.00;803785575#0_0;5.10;0.00;2.62;118.00;45494495_0;58.90;9.39;108.00;969.96;0.00;0;0.00;8.98;0;tripinfo_wu_od_to_os.0;car;0.89;
wu_os_to_od.0;10.00;-45494495_0;5.10;0.00;0.26;122.00;23156030#6_0;109.07;11.07;112.00;865.51;20.00;1;0.00;34.80;0;tripinfo_wu_os_to_od.0;car;1.01;
wu_as_to_kl.0;10.00;23687583_0;5.10;0.00;1.45;123.00;28716808#1_0;754.74;10.71;113.00;1207.92;0.00;0;0.00;10.09;0;tripinfo_wu_as_to_kl.0;car;1.06;
wu_os_to_sl.0;22.00;-45494495_0;5.10;0.00;3.61;126.00;28706217_0;94.10;7.81;104.00;484.95;37.00;2;0.00;54.06;0;tripinfo_wu_os_to_sl.0;car;0.98;
wu_od_to_os.1;46.00;803785575#0_0;5.10;0.00;4.45;133.00;45494495_0;58.90;12.06;87.00;969.96;0.00;0;0.00;7.84;0;tripinfo_wu_od_to_os.1;car;1.12;
wu_ba_to_as.0;9.00;-230845886_0;5.10;0.00;0.19;155.00;41899283#1_0;148.70;9.55;146.00;1430.78;0.00;0;0.00;13.00;0;tripinfo_wu_ba_to_as.0;car;0.97;
wu_od_to_os.2;58.00;803785575#0_0;5.10;0.00;0.15;155.00;45494495_0;58.90;10.62;97.00;969.96;0.00;0;0.00;8.60;0;tripinfo_wu_od_to_os.2;car;1.00;
wu_as_to_os.0;3.00;23687583_0;5.10;0.00;0.17;156.00;45494495_0;58.90;11.88;153.00;1689.77;0.00;0;0.00;13.89;0;tripinfo_wu_as_to_os.0;car;1.10;
wu_ns_to_ko.0;14.00;-23142338#2_0;5.10;0.00;0.95;156.00;972103805_0;116.86;12.02;142.00;1398.55;2.00;1;0.00;25.50;0;tripinfo_wu_ns_to_ko.0;car;1.09;
wu_as_to_ko.0;44.00;23687583_0;5.10;0.00;2.41;164.00;972103805_0;116.86;10.55;120.00;1102.39;8.00;1;0.00;21.66;0;tripinfo_wu_as_to_ko.0;car;1.02;
wu_as_to_ba.0;13.00;23687583_0;5.10;0.00;0.07;165.00;230845886_0;633.12;8.56;152.00;1356.50;0.00;0;0.00;12.02;0;tripinfo_wu_as_to_ba.0;car;0.88;
wu_as_to_ba.1;27.00;23687583_0;5.10;0.00;0.49;167.00;230845886_0;633.12;9.67;140.00;1356.50;0.00;0;0.00;11.89;0;tripinfo_wu_as_to_ba.1;car;0.96;
wu_ba_to_gj.0;12.00;-230845886_0;5.10;0.00;0.88;177.00;23527526_0;253.75;10.97;165.00;1755.68;0.00;0;0.00;20.99;0;tripinfo_wu_ba_to_gj.0;car;1.10;
wu_os_to_od.1;56.00;-45494495_0;5.10;0.00;0.35;187.00;23156030#6_0;109.07;10.19;131.00;865.51;37.00;1;0.00;46.68;0;tripinfo_wu_os_to_od.1;car;0.93;
wu_od_to_os.3;104.00;803785575#0_0;5.10;0.00;2.33;197.00;45494495_0;58.90;10.26;93.00;969.96;0.00;0;0.00;7.67;0;tripinfo_wu_od_to_os.3;car;1.03;
wu_as_to_ba.2;80.00;23687583_0;5.10;0.00;0.16;208.00;230845886_0;633.12;10.75;128.00;1356.50;0.00;0;0.00;10.60;0;tripinfo_wu_as_to_ba.2;car;1.05;
wu_os_to_as.0;19.00;-45494495_0;5.10;0.00;0.87;210.00;41899283#1_0;148.70;11.07;191.00;1746.47;15.00;1;0.00;33.36;0;tripinfo_wu_os_to_as.0;car;1.01;
wu_od_to_ba.0;1.00;803785575#0_0;5.10;0.00;0.21;213.00;230845886_0;633.12;12.08;212.00;2382.14;0.00;0;0.00;20.57;0;tripinfo_wu_od_to_ba.0;car;1.13;
wu_os_to_as.1;25.00;-45494495_0;5.10;0.00;5.40;214.00;41899283#1_0;148.70;10.34;189.00;1746.47;3.00;1;0.00;23.38;0;tripinfo_wu_os_to_as.1;car;0.95;
wu_ns_to_ko.1;66.00;-23142338#2_0;5.10;0.00;0.28;215.00;972103805_0;116.86;10.26;149.00;1398.55;6.00;1;0.00;22.38;0;tripinfo_wu_ns_to_ko.1;car;1.00;
wu_od_to_os.4;111.00;803785575#0_0;5.10;0.00;2.48;217.00;45494495_0;58.90;8.91;106.00;969.96;0.00;0;0.00;9.47;0;tripinfo_wu_od_to_os.4;car;0.91;
wu_as_to_os.1;41.00;23687583_0;5.10;0.00;1.57;227.00;45494495_0;58.90;10.10;186.00;1689.77;12.00;1;0.00;29.08;0;tripinfo_wu_as_to_os.1;car;0.97;
wu_as_to_ns.0;7.00;23687583_0;5.10;0.00;0.86;236.00;23142338#2_0;290.21;10.39;229.00;1995.73;15.00;1;0.00;42.33;0;tripinfo_wu_as_to_ns.0;car;0.97;
wu_as_to_ko.1;131.00;23687583_0;5.10;0.00;0.89;242.00;972103805_0;116.86;10.25;111.00;1102.39;0.00;0;0.00;9.71;0;tripinfo_wu_as_to_ko.1;car;0.99;
wu_os_to_gj.0;73.00;-45494495_0;5.10;0.00;0.40;246.00;23527526_0;253.75;12.56;173.00;2071.37;0.00;0;0.00;22.28;0;tripinfo_wu_os_to_gj.0;car;1.25;
wu_od_to_kl.0;7.00;803785575#0_0;5.10;0.00;3.16;255.00;28716808#1_0;754.74;10.65;248.00;2678.40;0.00;0;0.00;17.93;0;tripinfo_wu_od_to_kl.0;car;1.05;
wu_od_to_kl.1;17.00;803785575#0_0;5.10;0.00;0.28;256.00;28716808#1_0;754.74;11.58;239.00;2678.40;0.00;0;0.00;24.36;0;tripinfo_wu_od_to_kl.1;car;1.13;
wu_ns_to_gj.0;5.00;-23142338#2_0;5.10;0.00;2.64;261.00;23527526_0;253.75;9.97;256.00;2084.96;37.00;2;0.00;59.85;0;tripinfo_wu_ns_to_gj.0;car;0.96;
wu_ba_to_os.0;89.00;-230845886_0;5.10;0.00;0.40;268.00;45494495_0;58.90;10.78;179.00;1647.96;0.00;0;0.00;33.53;0;tripinfo_wu_ba_to_os.0;car;1.03;
wu_as_to_gj.0;198.00;23687583_0;5.10;0.00;8.66;270.00;23527526_0;253.75;10.86;72.00;649.06;0.00;0;0.00;15.52;0;tripinfo_wu_as_to_gj.0;car;1.05;
wu_ns_to_ko.2;95.00;-23142338#2_0;5.10;0.00;0.16;271.00;972103805_0;116.86;10.48;176.00;1398.55;34.00;1;0.00;49.31;0;tripinfo_wu_ns_to_ko.2;car;1.00;
wu_ba_to_as.1;116.00;-230845886_0;5.10;0.00;0.33;272.00;41899283#1_0;148.70;9.82;156.00;1430.78;6.00;1;0.00;24.52;0;tripinfo_wu_ba_to_as.1;car;0.99;
wu_ns_to_ko.3;146.00;-23142338#2_0;5.10;0.00;0.60;273.00;972103805_0;116.86;11.76;127.00;1398.55;0.00;0;0.00;17.28;0;tripinfo_wu_ns_to_ko.3;car;1.16;
wu_od_to_ba.1;14.00;803785575#0_0;5.10;0.00;0.44;277.00;230845886_0;633.12;9.53;263.00;2382.14;0.00;0;0.00;19.60;0;tripinfo_wu_od_to_ba.1;car;0.88;
wu_od_to_ns.0;28.00;803785575#0_0;5.10;0.00;0.52;279.00;23142338#2_0;290.21;9.70;251.00;1928.29;27.00;2;0.00;54.93;0;tripinfo_wu_od_to_ns.0;car;0.95;
wu_od_to_ns.1;64.00;803785575#0_0;5.10;0.00;0.42;283.00;23142338#2_0;290.21;9.69;219.00;1928.29;1.00;1;0.00;24.64;0;tripinfo_wu_od_to_ns.1;car;0.95;
wu_as_to_gj.1;201.00;23687583_0;5.10;0.00;9.76;283.00;23527526_0;253.75;8.69;82.00;649.06;0.00;0;0.00;15.81;0;tripinfo_wu_as_to_gj.1;car;0.90;
wu_ba_to_ko.0;32.00;-230845886_0;5.10;0.00;0.31;285.00;972103805_0;116.86;10.47;253.00;2114.29;38.00;1;0.00;62.50;0;tripinfo_wu_ba_to_ko.0;car;1.01;
wu_od_to_os.5;190.00;803785575#0_0;5.10;0.00;1.87;286.00;45494495_0;58.90;10.63;96.00;969.96;0.00;0;0.00;9.55;0;tripinfo_wu_od_to_os.5;car;1.01;
wu_od_to_sl.0;202.00;803785575#0_0;5.10;0.00;0.33;291.00;28706217_0;94.10;6.53;89.00;747.33;0.00;0;0.00;7.76;0;tripinfo_wu_od_to_sl.0;car;0.90;
wu_as_to_gg.0;111.00;23687583_0;5.10;0.00;0.90;296.00;23156305_0;1264.14;9.39;185.00;1600.87;0.00;0;0.00;14.59;0;tripinfo_wu_as_to_gg.0;car;0.85;
wu_as_to_ns.1;38.00;23687583_0;5.10;0.00;0.89;297.00;23142338#2_0;290.21;9.59;259.00;1995.73;42.00;3;0.00;71.19;0;tripinfo_wu_as_to_ns.1;car;0.97;
wu_od_to_as.0;82.00;803785575#0_0;5.10;0.00;0.37;297.00;41899283#1_0;148.70;12.61;215.00;2382.09;5.00;1;0.00;31.63;0;tripinfo_wu_od_to_as.0;car;1.17;
wu_as_to_sl.0;53.00;23687583_0;5.10;0.00;0.53;300.00;28706217_0;94.10;6.82;247.00;1976.75;11.00;3;0.00;43.96;0;tripinfo_wu_as_to_sl.0;car;0.90;
wu_as_to_od.0;56.00;23687583_0;5.10;0.00;2.77;307.00;23156030#6_0;109.07;10.63;251.00;2357.31;0.00;0;0.00;37.00;0;tripinfo_wu_as_to_od.0;car;0.99;
wu_as_to_os.2;89.00;23687583_0;5.10;0.00;0.55;311.00;45494495_0;58.90;8.98;222.00;1689.77;16.00;1;0.00;36.72;0;tripinfo_wu_as_to_os.2;car;0.82;
wu_as_to_kl.1;182.00;23687583_0;5.10;0.00;0.40;311.00;28716808#1_0;754.74;11.66;129.00;1207.92;11.00;1;0.00;27.20;0;tripinfo_wu_as_to_kl.1;car;1.08;
wu_od_to_ba.2;43.00;803785575#0_0;5.10;0.00;2.76;313.00;230845886_0;633.12;9.32;270.00;2382.14;5.00;1;0.00;28.52;0;tripinfo_wu_od_to_ba.2;car;0.89;
wu_od_to_gj.0;23.00;803785575#0_0;5.10;0.00;0.29;316.00;23527526_0;253.75;9.93;293.00;2706.99;0.00;0;0.00;23.39;0;tripinfo_wu_od_to_gj.0;car;0.91;
wu_ba_to_os.1;140.00;-230845886_0;5.10;0.00;0.82;316.00;45494495_0;58.90;9.46;176.00;1647.96;0.00;0;0.00;14.10;0;tripinfo_wu_ba_to_os.1;car;0.92;
wu_ns_to_gj.1;53.00;-23142338#2_0;5.10;0.00;2.40;319.00;23527526_0;253.75;10.73;266.00;2084.96;44.00;2;0.00;76.70;0;tripinfo_wu_ns_to_gj.1;car;1.00;
wu_ba_to_gj.1;154.00;-230845886_0;5.10;0.00;0.81;320.00;23527526_0;253.75;13.36;166.00;1755.68;3.00;1;0.00;38.95;0;tripinfo_wu_ba_to_gj.1;car;1.30;
wu_od_to_ko.0;4.00;803785575#0_0;5.10;0.00;2.17;321.00;972103805_0;116.86;9.17;317.00;2307.67;44.00;2;0.00;73.66;0;tripinfo_wu_od_to_ko.0;car;0.90;
wu_od_to_ko.1;40.00;803785575#0_0;5.10;0.00;0.97;323.00;972103805_0;116.86;10.23;283.00;2307.67;24.00;2;0.00;68.92;0;tripinfo_wu_od_to_ko.1;car;1.02;
wu_ba_to_gg.0;43.00;-230845886_0;5.10;0.00;3.70;323.00;23156305_0;1264.14;11.82;280.00;2718.65;5.00;1;0.00;67.97;0;tripinfo_wu_ba_to_gg.0;car;1.17;
wu_os_to_br.0;28.00;-45494495_0;5.10;0.00;2.33;324.00;23156390_0;1121.44;8.87;296.00;2513.69;0.00;0;0.00;25.18;0;tripinfo_wu_os_to_br.0;car;0.84;
wu_as_to_ba.3;153.00;23687583_0;5.10;0.00;2.60;326.00;230845886_0;633.12;9.12;173.00;1356.50;14.00;1;0.00;29.99;0;tripinfo_wu_as_to_ba.3;car;0.85;
wu_ba_to_as.2;172.00;-230845886_0;5.10;0.00;1.95;331.00;41899283#1_0;148.70;11.51;159.00;1430.78;1.00;1;0.00;39.13;0;tripinfo_wu_ba_to_as.2;car;1.08;
wu_as_to_gj.2;266.00;23687583_0;5.10;0.00;0.72;336.00;23527526_0;253.75;9.50;70.00;649.06;0.00;0;0.00;9.11;0;tripinfo_wu_as_to_gj.2;car;0.97;
wu_os_to_ns.0;53.00;-45494495_0;5.10;0.00;0.64;337.00;23142338#2_0;290.21;9.99;284.00;1665.91;82.00;4;0.00;113.01;0;tripinfo_wu_os_to_ns.0;car;0.95;
wu_os_to_ba.0;152.00;-45494495_0;5.10;0.00;0.82;337.00;230845886_0;633.12;9.50;185.00;1746.52;0.00;0;0.00;19.37;0;tripinfo_wu_os_to_ba.0;car;0.95;
wu_ba_to_ko.1;107.00;-230845886_0;5.10;0.00;0.17;341.00;972103805_0;116.86;12.46;234.00;2114.29;36.00;1;0.00;66.02;0;tripinfo_wu_ba_to_ko.1;car;1.14;
wu_od_to_ns.2;122.00;803785575#0_0;5.10;0.00;0.22;345.00;23142338#2_0;290.21;9.54;223.00;1928.29;0.00;0;0.00;24.08;0;tripinfo_wu_od_to_ns.2;car;0.93;
wu_as_to_ko.2;171.00;23687583_0;5.10;0.00;0.44;348.00;972103805_0;116.86;9.00;177.00;1102.39;43.00;2;0.00;61.43;0;tripinfo_wu_as_to_ko.2;car;0.86;
wu_as_to_ko.3;174.00;23687583_0;5.10;0.00;2.82;350.00;972103805_0;116.86;11.15;176.00;1102.39;41.00;2;0.00;83.01;0;tripinfo_wu_as_to_ko.3;car;1.07;
wu_as_to_ns.2;108.00;23687583_0;5.10;0.00;0.47;351.00;23142338#2_0;290.21;10.95;243.00;1995.73;47.00;3;0.00;77.53;0;tripinfo_wu_as_to_ns.2;car;1.10;
